gene symbol	(count) NOR_48_MW_1345
A1BG	12
A1BG-AS1	5
A1CF	2
A2M	731
A2ML1	39
A2MP1	43
A4GALT	0
A4GNT	0
AA06	0
AAAS	1
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	0
AAGAB	3
AAK1	64
AAMP	5
AANAT	10
AARS	0
AARS2	41
AARSD1	26
AASDH	0
AASDHPPT	0
AASS	11
AATF	1
AATK	1
AATK-AS1	1
ABAT	2
ABCA1	1
ABCA10	7
ABCA11P	22
ABCA12	1
ABCA13	7
ABCA17P	1
ABCA2	1
ABCA3	0
ABCA4	1
ABCA6	0
ABCA7	3
ABCA8	0
ABCA9	41
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	4
ABCB5	23
ABCB6	3
ABCB7	0
ABCB8	3
ABCB9	0
ABCC1	2
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	6
ABCC2	0
ABCC3	1
ABCC4	0
ABCC5	1
ABCC6	5
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	201
ABCD1	0
ABCD2	0
ABCD3	6
ABCD4	0
ABCE1	6
ABCF1	6
ABCF2	3
ABCF3	1
ABCG1	1
ABCG2	0
ABCG4	0
ABCG5	4
ABCG8	0
ABHD1	23
ABHD10	1
ABHD11	21
ABHD12	5
ABHD12B	17
ABHD13	0
ABHD14A	3
ABHD14B	2
ABHD15	45
ABHD16A	0
ABHD16B	60
ABHD2	33
ABHD3	0
ABHD4	0
ABHD5	1
ABHD6	0
ABHD8	2
ABI1	6
ABI2	24
ABI3	31
ABI3BP	12
ABL1	1
ABL2	43
ABLIM1	3
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	0
ABR	34
ABRA	18
ABT1	1
ABTB1	0
ABTB2	10
ACAA1	3
ACAA2	2
ACACA	17
ACACB	3
ACAD10	1
ACAD11	26
ACAD8	14
ACAD9	0
ACADL	0
ACADM	0
ACADS	0
ACADSB	190
ACADVL	30
ACAN	8
ACAP1	1
ACAP2	11
ACAP3	0
ACAT1	45
ACAT2	34
ACBD3	5
ACBD4	29
ACBD5	7
ACBD6	1
ACBD7	82
ACCS	0
ACCSL	0
ACD	11
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	2
ACHE	0
ACIN1	23
ACLY	2
ACMSD	8
ACN9	1
ACO1	33
ACO2	39
ACOT1	0
ACOT11	1
ACOT12	0
ACOT13	119
ACOT2	16
ACOT4	0
ACOT6	0
ACOT7	2
ACOT8	3
ACOT9	0
ACOX1	18
ACOX2	1
ACOX3	0
ACOXL	0
ACP1	0
ACP2	6
ACP5	9
ACP6	0
ACPL2	1
ACPP	4
ACPT	14
ACR	0
ACRBP	4
ACRC	1
ACRV1	1
ACSBG1	2
ACSBG2	5
ACSF2	1
ACSF3	2
ACSL1	1
ACSL3	0
ACSL4	0
ACSL5	15
ACSL6	15
ACSM1	3
ACSM2A	0
ACSM2B	0
ACSM3	2
ACSM4	1
ACSM5	0
ACSS1	1
ACSS2	2
ACSS3	1
ACTA1	1
ACTA2	48
ACTB	10
ACTBL2	0
ACTC1	0
ACTG1	7
ACTG2	0
ACTL6A	13
ACTL6B	0
ACTL7A	1
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	6
ACTN2	0
ACTN3	0
ACTN4	14
ACTR10	4
ACTR1A	5
ACTR1B	2
ACTR2	1
ACTR3	7
ACTR3B	0
ACTR3BP2	2
ACTR3C	4
ACTR5	0
ACTR6	0
ACTR8	1
ACTRT1	0
ACTRT2	0
ACVR1	1
ACVR1B	1
ACVR1C	0
ACVR2A	66
ACVR2B	2
ACVRL1	2
ACY3	0
ACYP1	0
ACYP2	2
ADA	3
ADAD1	0
ADAD2	0
ADAL	0
ADAM10	0
ADAM11	1
ADAM12	2
ADAM15	0
ADAM17	28
ADAM18	0
ADAM19	0
ADAM2	0
ADAM20	0
ADAM21	3
ADAM21P1	0
ADAM22	34
ADAM23	0
ADAM28	22
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	1
ADAM3A	0
ADAM6	0
ADAM7	0
ADAM8	6
ADAM9	0
ADAMDEC1	11
ADAMTS1	2
ADAMTS10	0
ADAMTS12	0
ADAMTS13	3
ADAMTS14	0
ADAMTS15	0
ADAMTS16	2
ADAMTS17	5
ADAMTS18	0
ADAMTS19	0
ADAMTS2	6
ADAMTS20	0
ADAMTS3	0
ADAMTS4	24
ADAMTS5	0
ADAMTS6	0
ADAMTS7	6
ADAMTS8	2
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	18
ADAMTSL3	0
ADAMTSL4	346
ADAMTSL5	2
ADAP1	1
ADAP2	0
ADAR	18
ADARB1	1
ADARB2	6
ADAT1	43
ADAT2	3
ADC	4
ADCK1	0
ADCK2	0
ADCK3	1
ADCK4	0
ADCK5	0
ADCY1	35
ADCY10	7
ADCY2	2
ADCY3	14
ADCY4	0
ADCY5	8
ADCY6	14
ADCY7	88
ADCY8	0
ADCY9	3
ADCYAP1	0
ADCYAP1R1	0
ADD1	1
ADD2	0
ADD3	4
ADH1A	1
ADH1B	0
ADH1C	0
ADH4	3
ADH5	12
ADH6	2
ADH7	0
ADHFE1	0
ADI1	1
ADIG	0
ADIPOQ	37
ADIPOR1	3
ADIPOR2	3
ADK	0
ADM	0
ADM2	26
ADNP	100
ADNP2	0
ADO	3
ADORA1	0
ADORA2A	33
ADORA2B	27
ADORA3	0
