gene symbol	(count) NOR_49_FA_28
A1BG	13
A1BG-AS1	2
A1CF	4
A2M	1072
A2ML1	41
A2MP1	74
A4GALT	0
A4GNT	0
AA06	0
AAAS	4
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	1
AADACL4	0
AADAT	2
AAGAB	22
AAK1	89
AAMP	2
AANAT	10
AARS	2
AARS2	43
AARSD1	40
AASDH	0
AASDHPPT	0
AASS	18
AATF	2
AATK	1
AATK-AS1	0
ABAT	1
ABCA1	2
ABCA10	5
ABCA11P	19
ABCA12	0
ABCA13	9
ABCA17P	6
ABCA2	4
ABCA3	6
ABCA4	0
ABCA6	0
ABCA7	5
ABCA8	0
ABCA9	39
ABCB1	0
ABCB10	1
ABCB11	0
ABCB4	3
ABCB5	24
ABCB6	4
ABCB7	1
ABCB8	6
ABCB9	4
ABCC1	2
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	9
ABCC2	0
ABCC3	0
ABCC4	0
ABCC5	0
ABCC6	12
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	220
ABCD1	2
ABCD2	0
ABCD3	24
ABCD4	2
ABCE1	9
ABCF1	6
ABCF2	8
ABCF3	1
ABCG1	1
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	1
ABHD1	24
ABHD10	0
ABHD11	25
ABHD12	2
ABHD12B	6
ABHD13	0
ABHD14A	2
ABHD14B	0
ABHD15	22
ABHD16A	1
ABHD16B	65
ABHD2	23
ABHD3	1
ABHD4	0
ABHD5	1
ABHD6	2
ABHD8	1
ABI1	14
ABI2	41
ABI3	14
ABI3BP	17
ABL1	1
ABL2	46
ABLIM1	2
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	0
ABR	29
ABRA	17
ABT1	8
ABTB1	1
ABTB2	10
ACAA1	11
ACAA2	1
ACACA	29
ACACB	2
ACAD10	0
ACAD11	39
ACAD8	23
ACAD9	0
ACADL	0
ACADM	0
ACADS	0
ACADSB	151
ACADVL	32
ACAN	5
ACAP1	6
ACAP2	11
ACAP3	3
ACAT1	46
ACAT2	47
ACBD3	8
ACBD4	23
ACBD5	17
ACBD6	2
ACBD7	102
ACCS	0
ACCSL	0
ACD	4
ACE	1
ACE2	0
ACER1	0
ACER2	0
ACER3	1
ACHE	0
ACIN1	31
ACLY	2
ACMSD	6
ACN9	1
ACO1	37
ACO2	41
ACOT1	0
ACOT11	0
ACOT12	0
ACOT13	170
ACOT2	10
ACOT4	1
ACOT6	0
ACOT7	2
ACOT8	6
ACOT9	1
ACOX1	16
ACOX2	2
ACOX3	0
ACOXL	1
ACP1	0
ACP2	10
ACP5	3
ACP6	0
ACPL2	1
ACPP	4
ACPT	19
ACR	0
ACRBP	0
ACRC	0
ACRV1	1
ACSBG1	0
ACSBG2	3
ACSF2	0
ACSF3	2
ACSL1	1
ACSL3	0
ACSL4	3
ACSL5	21
ACSL6	15
ACSM1	1
ACSM2A	1
ACSM2B	0
ACSM3	5
ACSM4	3
ACSM5	0
ACSS1	8
ACSS2	0
ACSS3	0
ACTA1	1
ACTA2	44
ACTB	86
ACTBL2	0
ACTC1	0
ACTG1	23
ACTG2	0
ACTL6A	13
ACTL6B	0
ACTL7A	1
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	4
ACTN2	0
ACTN3	4
ACTN4	12
ACTR10	3
ACTR1A	1
ACTR1B	1
ACTR2	1
ACTR3	3
ACTR3B	0
ACTR3BP2	2
ACTR3C	0
ACTR5	0
ACTR6	1
ACTR8	1
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	1
ACVR1C	0
ACVR2A	63
ACVR2B	4
ACVRL1	3
ACY3	0
ACYP1	1
ACYP2	2
ADA	2
ADAD1	0
ADAD2	1
ADAL	2
ADAM10	0
ADAM11	1
ADAM12	9
ADAM15	5
ADAM17	44
ADAM18	0
ADAM19	4
ADAM2	0
ADAM20	0
ADAM21	4
ADAM21P1	1
ADAM22	23
ADAM23	0
ADAM28	15
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	1
ADAM3A	0
ADAM6	0
ADAM7	1
ADAM8	3
ADAM9	0
ADAMDEC1	6
ADAMTS1	2
ADAMTS10	2
ADAMTS12	0
ADAMTS13	7
ADAMTS14	0
ADAMTS15	0
ADAMTS16	1
ADAMTS17	7
ADAMTS18	0
ADAMTS19	0
ADAMTS2	4
ADAMTS20	0
ADAMTS3	0
ADAMTS4	24
ADAMTS5	0
ADAMTS6	0
ADAMTS7	11
ADAMTS8	0
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	17
ADAMTSL3	0
ADAMTSL4	240
ADAMTSL5	3
ADAP1	6
ADAP2	3
ADAR	41
ADARB1	2
ADARB2	6
ADAT1	64
ADAT2	4
ADC	0
ADCK1	0
ADCK2	1
ADCK3	2
ADCK4	2
ADCK5	0
ADCY1	44
ADCY10	0
ADCY2	1
ADCY3	29
ADCY4	0
ADCY5	6
ADCY6	18
ADCY7	127
ADCY8	0
ADCY9	2
ADCYAP1	0
ADCYAP1R1	0
ADD1	13
ADD2	1
ADD3	3
ADH1A	0
ADH1B	0
ADH1C	0
ADH4	3
ADH5	12
ADH6	3
ADH7	0
ADHFE1	0
ADI1	2
ADIG	0
ADIPOQ	32
ADIPOR1	2
ADIPOR2	6
ADK	0
ADM	1
ADM2	29
ADNP	60
ADNP2	1
ADO	8
ADORA1	0
ADORA2A	4
ADORA2B	13
ADORA3	0
ADPGK	13
ADPRH	0
ADPRHL1	0
ADPRHL2	0
ADRA1A	26
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	0
ADRB2	2
ADRB3	0
ADRBK1	12
ADRBK2	31
ADRM1	1
ADSL	0
ADSS	8
ADSSL1	1
AEBP1	10
AEBP2	5
AEN	0
AES	6
AFAP1	1
AFAP1-AS1	24
AFAP1L1	0
AFAP1L2	2
AFF1	8
AFF2	0
AFF3	36
AFF4	11
AFG3L1P	0
AFG3L2	13
AFM	0
AFMID	10
AFP	0
AFTPH	2
AGA	1
AGAP1	1
AGAP2	2
AGAP3	6
AGAP4	0
AGAP5	0
AGAP6	1
AGAP7	2
AGAP8	0
AGAP9	0
AGBL1	0
AGBL2	0
AGBL3	11
AGBL4	0
AGBL5	303
AGER	3
AGFG1	0
AGFG2	5
AGGF1	9
AGK	71
AGL	1
AGMAT	50
AGMO	10
AGPAT1	4
AGPAT2	1
AGPAT3	0
AGPAT4	80
AGPAT5	0
AGPAT6	7
AGPAT9	1
AGPHD1	0
AGPS	1
AGR2	0
AGR3	0
AGRN	1
AGRP	3
AGT	0
AGTPBP1	1
AGTR1	0
AGTR2	0
AGTRAP	2
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	27
AHCTF1	2
AHCY	5
AHCYL1	0
AHCYL2	18
AHDC1	0
AHI1	18
AHNAK	149
AHNAK2	32
AHR	24
AHSA1	1
AHSA2	39
AHSG	0
AHSP	0
AICDA	34
AIDA	40
AIF1	1
AIF1L	3
AIFM1	28
AIFM2	6
AIFM3	0
AIG1	0
AIM1	52
AIM1L	11
AIM2	7
AIMP1	30
AIMP2	8
AIP	1
AIPL1	41
AIRE	26
AJAP1	0
AK1	34
AK2	1
AK3	27
AK4	0
AK5	11
AK7	0
AK8	0
AKAP1	3
AKAP10	2
AKAP11	2
AKAP12	31
AKAP13	34
AKAP14	5
AKAP17A	0
AKAP3	1
AKAP4	0
AKAP5	145
