gene symbol	(count) NOR_48_MW_990
AGK	64
AGL	0
AGMAT	51
AGMO	26
AGPAT1	1
AGPAT2	1
AGPAT3	1
AGPAT4	72
AGPAT5	1
AGPAT6	8
AGPAT9	0
AGPHD1	0
AGPS	2
AGR2	0
AGR3	0
AGRN	0
AGRP	10
AGT	0
AGTPBP1	0
AGTR1	0
AGTR2	0
AGTRAP	1
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	33
AHCTF1	2
AHCY	4
AHCYL1	1
AHCYL2	16
AHDC1	5
AHI1	18
AHNAK	73
AHNAK2	40
AHR	14
AHSA1	0
AHSA2	32
AHSG	0
AHSP	0
AICDA	21
AIDA	44
AIF1	4
AIF1L	2
AIFM1	18
AIFM2	14
AIFM3	0
AIG1	0
AIM1	52
AIM1L	15
AIM2	7
AIMP1	33
AIMP2	34
AIP	3
AIPL1	40
AIRE	13
AJAP1	0
AK1	34
AK2	5
AK3	33
AK4	0
AK5	15
AK7	0
AK8	1
AKAP1	0
AKAP10	0
AKAP11	1
AKAP12	22
AKAP13	27
AKAP14	0
AKAP17A	0
AKAP3	0
AKAP4	0
AKAP5	103
AKAP6	0
AKAP7	14
AKAP8	18
AKAP8L	2
AKAP9	9
AKIP1	15
AKIRIN1	11
AKIRIN2	5
AKNA	32
AKNAD1	0
AKR1A1	0
AKR1B1	0
AKR1B10	8
AKR1B15	1
AKR1C1	0
AKR1C2	1
AKR1C3	0
AKR1C4	1
AKR1CL1	0
AKR1D1	18
AKR1E2	0
AKR7A2	0
AKR7A2P1	5
AKR7A3	0
AKR7L	1
AKT1	5
AKT1S1	3
AKT2	6
AKT3	23
AKTIP	104
ALAD	0
ALAS1	0
ALAS2	8
ALB	0
ALCAM	2
ALDH16A1	5
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	4
ALDH1B1	6
ALDH1L1	0
ALDH1L2	15
ALDH2	1
ALDH3A1	0
ALDH3A2	31
ALDH3B1	42
ALDH3B2	0
ALDH4A1	0
ALDH5A1	24
ALDH6A1	6
ALDH7A1	2
ALDH8A1	12
ALDH9A1	7
ALDOA	14
ALDOB	1
ALDOC	0
ALG1	52
ALG10	0
ALG10B	6
ALG11	10
ALG12	12
ALG13	3
ALG14	2
ALG1L	16
ALG1L2	5
ALG2	0
ALG3	0
ALG5	0
ALG6	10
ALG8	0
ALG9	12
ALK	26
ALKBH1	0
ALKBH2	0
ALKBH3	0
ALKBH4	49
ALKBH5	11
ALKBH6	0
ALKBH7	0
ALKBH8	1
ALLC	0
ALMS1	1
ALMS1P	0
ALOX12	46
ALOX12B	2
ALOX12P2	1
ALOX15	9
ALOX15B	2
ALOX5	9
ALOX5AP	1
ALOXE3	0
ALPI	0
ALPK1	13
ALPK2	1
ALPK3	0
ALPL	0
ALPP	8
ALPPL2	0
ALS2	2
ALS2CL	2
ALS2CR11	8
ALS2CR12	28
ALS2CR8	20
ALX1	0
ALX3	11
ALX4	8
AMACR	3
AMBN	1
AMBP	1
AMBRA1	0
AMD1	2
AMDHD1	0
AMDHD2	2
AMELX	0
AMELY	0
AMFR	0
AMH	0
AMHR2	0
AMICA1	1
AMIGO1	12
AMIGO2	3
AMIGO3	38
AMMECR1	30
AMMECR1L	0
AMN	0
AMN1	8
AMOT	0
AMOTL1	6
AMOTL2	0
AMPD1	0
AMPD2	3
AMPD3	12
AMPH	28
AMT	90
AMTN	0
AMY1A	0
AMY2A	0
AMZ1	16
AMZ2	1
AMZ2P1	0
ANAPC1	0
ANAPC10	0
ANAPC11	4
ANAPC13	9
ANAPC16	115
ANAPC2	1
ANAPC4	0
ANAPC5	6
ANAPC7	0
ANG	0
ANGEL1	0
ANGEL2	16
ANGPT1	0
ANGPT2	96
ANGPT4	1
ANGPTL1	59
ANGPTL2	10
ANGPTL3	9
ANGPTL4	4
ANGPTL5	0
ANGPTL6	73
ANGPTL7	18
ANK1	1
ANK2	0
ANK3	2
ANKAR	4
ANKDD1A	25
ANKDD1B	0
ANKFN1	0
ANKFY1	8
ANKH	223
ANKHD1	14
ANKIB1	0
ANKK1	13
ANKLE1	44
ANKLE2	3
ANKMY1	1
ANKMY2	1
ANKRA2	0
ANKRD1	0
ANKRD10	1
ANKRD11	21
ANKRD12	33
ANKRD13A	7
ANKRD13B	2
ANKRD13C	1
ANKRD13D	3
ANKRD16	40
ANKRD17	3
ANKRD18A	2
ANKRD19P	34
ANKRD2	0
ANKRD20A3	2
ANKRD20A4	0
ANKRD20A5P	2
ANKRD20A9P	779
ANKRD22	5
ANKRD23	18
ANKRD24	0
ANKRD26	2
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	2
ANKRD28	29
ANKRD29	0
ANKRD30A	0
ANKRD30B	1
ANKRD30BL	0
ANKRD30BP2	38
ANKRD31	0
ANKRD32	16
ANKRD33	0
ANKRD33B	0
ANKRD34A	12
ANKRD34B	0
ANKRD34C	0
ANKRD35	0
ANKRD36	1
ANKRD36B	16
ANKRD36BP1	250
ANKRD36BP2	0
ANKRD37	13
ANKRD39	2
ANKRD40	42
ANKRD42	8
ANKRD44	1
ANKRD45	4
ANKRD46	0
ANKRD49	0
ANKRD50	1
ANKRD52	0
ANKRD53	1
ANKRD54	1
ANKRD55	3
ANKRD6	17
ANKRD62	43
ANKRD62P1-PARP4P3	16
ANKRD63	0
ANKRD7	0
ANKRD9	0
ANKS1A	0
ANKS1B	119
ANKS3	19
ANKS4B	19
ANKS6	0
ANKUB1	0
ANKZF1	15
ANLN	1
ANO1	0
ANO10	3
ANO2	0
ANO3	0
ANO4	0
ANO5	0
ANO6	4
ANO7	10
ANO8	8
ANO9	21
ANP32A	3
ANP32B	4
ANP32C	0
ANP32D	0
ANP32E	3
ANPEP	4
ANTXR1	0
ANTXR2	6
ANXA1	1
ANXA10	1
ANXA11	5
ANXA13	0
