gene symbol	(count) FRA_48_FW_1614
A1BG	5
A1BG-AS1	9
A1CF	4
A2M	1048
A2ML1	39
A2MP1	75
A4GALT	0
A4GNT	1
AA06	0
AAAS	1
AACS	1
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	1
AADACL4	0
AADAT	1
AAGAB	15
AAK1	76
AAMP	2
AANAT	12
AARS	1
AARS2	51
AARSD1	26
AASDH	0
AASDHPPT	0
AASS	18
AATF	2
AATK	0
AATK-AS1	0
ABAT	0
ABCA1	5
ABCA10	10
ABCA11P	21
ABCA12	2
ABCA13	15
ABCA17P	6
ABCA2	1
ABCA3	3
ABCA4	0
ABCA6	0
ABCA7	1
ABCA8	0
ABCA9	40
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	4
ABCB5	30
ABCB6	4
ABCB7	0
ABCB8	2
ABCB9	0
ABCC1	0
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	6
ABCC2	0
ABCC3	0
ABCC4	0
ABCC5	0
ABCC6	16
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	260
ABCD1	1
ABCD2	1
ABCD3	11
ABCD4	0
ABCE1	11
ABCF1	4
ABCF2	14
ABCF3	1
ABCG1	4
ABCG2	1
ABCG4	0
ABCG5	1
ABCG8	1
ABHD1	23
ABHD10	0
ABHD11	29
ABHD12	4
ABHD12B	8
ABHD13	0
ABHD14A	3
ABHD14B	1
ABHD15	44
ABHD16A	0
ABHD16B	54
ABHD2	20
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	8
ABI1	5
ABI2	44
ABI3	3
ABI3BP	29
ABL1	1
ABL2	61
ABLIM1	2
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	0
ABR	35
ABRA	25
ABT1	2
ABTB1	0
ABTB2	19
ACAA1	7
ACAA2	1
ACACA	24
ACACB	8
ACAD10	0
ACAD11	22
ACAD8	24
ACAD9	1
ACADL	0
ACADM	0
ACADS	0
ACADSB	285
ACADVL	33
ACAN	24
ACAP1	4
ACAP2	14
ACAP3	0
ACAT1	58
ACAT2	23
ACBD3	1
ACBD4	32
ACBD5	14
ACBD6	2
ACBD7	104
ACCS	1
ACCSL	0
ACD	7
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	3
ACHE	0
ACIN1	22
ACLY	0
ACMSD	5
ACN9	0
ACO1	55
ACO2	50
ACOT1	0
ACOT11	1
ACOT12	0
ACOT13	146
ACOT2	15
ACOT4	0
ACOT6	0
ACOT7	0
ACOT8	4
ACOT9	0
ACOX1	25
ACOX2	0
ACOX3	0
ACOXL	2
ACP1	1
ACP2	8
ACP5	5
ACP6	0
ACPL2	2
ACPP	2
ACPT	10
ACR	0
ACRBP	0
ACRC	1
ACRV1	0
ACSBG1	4
ACSBG2	7
ACSF2	0
ACSF3	2
ACSL1	1
ACSL3	0
ACSL4	1
ACSL5	41
ACSL6	14
ACSM1	7
ACSM2A	0
ACSM2B	0
ACSM3	7
ACSM4	1
ACSM5	0
ACSS1	2
ACSS2	4
ACSS3	1
ACTA1	1
ACTA2	58
ACTB	29
ACTBL2	0
ACTC1	0
ACTG1	21
ACTG2	0
ACTL6A	9
ACTL6B	0
ACTL7A	6
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	2
ACTN2	0
ACTN3	0
ACTN4	12
ACTR10	5
ACTR1A	9
ACTR1B	0
ACTR2	0
ACTR3	3
ACTR3B	3
ACTR3BP2	4
ACTR3C	1
ACTR5	1
ACTR6	0
ACTR8	0
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	1
ACVR1C	0
ACVR2A	78
ACVR2B	8
ACVRL1	7
ACY3	0
ACYP1	0
ACYP2	1
ADA	10
ADAD1	0
ADAD2	0
ADAL	0
ADAM10	0
ADAM11	2
ADAM12	4
ADAM15	2
ADAM17	48
ADAM18	0
ADAM19	1
ADAM2	0
ADAM20	0
ADAM21	12
ADAM21P1	1
ADAM22	52
ADAM23	0
ADAM28	47
ADAM29	1
ADAM30	0
ADAM32	0
ADAM33	3
ADAM3A	0
ADAM6	0
ADAM7	0
ADAM8	3
ADAM9	0
ADAMDEC1	5
ADAMTS1	0
ADAMTS10	3
ADAMTS12	0
ADAMTS13	4
ADAMTS14	0
ADAMTS15	0
ADAMTS16	4
ADAMTS17	23
ADAMTS18	0
ADAMTS19	0
ADAMTS2	5
ADAMTS20	0
ADAMTS3	0
ADAMTS4	26
ADAMTS5	0
ADAMTS6	0
ADAMTS7	3
ADAMTS8	2
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	20
ADAMTSL3	0
ADAMTSL4	121
ADAMTSL5	5
ADAP1	2
ADAP2	0
ADAR	30
ADARB1	0
ADARB2	3
ADAT1	57
ADAT2	2
ADC	2
ADCK1	0
ADCK2	1
ADCK3	2
ADCK4	1
ADCK5	0
ADCY1	43
ADCY10	1
ADCY2	2
ADCY3	18
ADCY4	0
ADCY5	13
ADCY6	17
ADCY7	122
ADCY8	0
ADCY9	1
ADCYAP1	0
ADCYAP1R1	0
ADD1	5
ADD2	2
ADD3	3
ADH1A	4
ADH1B	0
ADH1C	0
ADH4	9
ADH5	7
ADH6	12
ADH7	0
ADHFE1	1
ADI1	2
ADIG	0
ADIPOQ	48
ADIPOR1	2
ADIPOR2	3
ADK	0
ADM	0
ADM2	25
ADNP	163
ADNP2	0
ADO	1
ADORA1	0
ADORA2A	1
ADORA2B	14
ADORA3	0
ADPGK	16
ADPRH	1
ADPRHL1	0
ADPRHL2	0
ADRA1A	29
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	0
ADRB2	0
ADRB3	0
ADRBK1	5
ADRBK2	29
ADRM1	2
ADSL	1
ADSS	5
ADSSL1	0
AEBP1	8
AEBP2	3
AEN	0
AES	1
AFAP1	2
AFAP1-AS1	21
AFAP1L1	3
AFAP1L2	0
AFF1	15
AFF2	0
AFF3	32
AFF4	10
AFG3L1P	1
AFG3L2	6
AFM	0
AFMID	24
AFP	0
AFTPH	0
AGA	3
AGAP1	0
AGAP2	2
AGAP3	2
AGAP4	0
AGAP5	0
AGAP6	0
AGAP7	2
AGAP8	0
AGAP9	0
AGBL1	0
AGBL2	0
AGBL3	16
AGBL4	0
AGBL5	260
AGER	8
AGFG1	2
AGFG2	4
AGGF1	8
AGK	102
AGL	1
AGMAT	54
AGMO	19
AGPAT1	1
AGPAT2	0
AGPAT3	0
AGPAT4	97
AGPAT5	1
AGPAT6	6
AGPAT9	0
AGPHD1	0
AGPS	0
AGR2	3
AGR3	0
AGRN	1
AGRP	9
AGT	0
AGTPBP1	0
AGTR1	0
AGTR2	0
AGTRAP	0
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	21
AHCTF1	1
AHCY	1
AHCYL1	0
AHCYL2	18
AHDC1	0
AHI1	12
AHNAK	38
AHNAK2	35
AHR	13
AHSA1	0
AHSA2	44
AHSG	0
AHSP	0
AICDA	28
AIDA	32
AIF1	0
AIF1L	2
AIFM1	12
AIFM2	4
AIFM3	3
AIG1	0
AIM1	49
AIM1L	38
AIM2	5
AIMP1	29
AIMP2	9
AIP	2
AIPL1	41
AIRE	12
AJAP1	0
AK1	33
AK2	2
AK3	32
AK4	0
AK5	25
AK7	0
AK8	1
AKAP1	0
AKAP10	1
AKAP11	0
AKAP12	17
AKAP13	26
AKAP14	3
AKAP17A	0
AKAP3	1
AKAP4	0
AKAP5	166
AKAP6	0
AKAP7	73
AKAP8	14
AKAP8L	7
AKAP9	6
AKIP1	17
AKIRIN1	13
AKIRIN2	7
AKNA	35
AKNAD1	0
AKR1A1	0
AKR1B1	0
AKR1B10	10
AKR1B15	0
AKR1C1	0
AKR1C2	1
AKR1C3	0
AKR1C4	4
AKR1CL1	0
AKR1D1	17
AKR1E2	0
AKR7A2	0
AKR7A2P1	6
AKR7A3	0
AKR7L	0
AKT1	5
AKT1S1	1
AKT2	3
AKT3	35
AKTIP	146
ALAD	2
ALAS1	0
ALAS2	2
ALB	0
ALCAM	0
ALDH16A1	1
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	0
ALDH1B1	8
ALDH1L1	0
ALDH1L2	18
ALDH2	0
ALDH3A1	0
ALDH3A2	22
ALDH3B1	30
ALDH3B2	0
ALDH4A1	0
ALDH5A1	18
ALDH6A1	2
ALDH7A1	3
ALDH8A1	6
ALDH9A1	12
