gene symbol	(count) FRA_49_FW_992
AGK	195
AGL	1
AGMAT	97
AGMO	36
AGPAT1	6
AGPAT2	0
AGPAT3	4
AGPAT4	179
AGPAT5	1
AGPAT6	10
AGPAT9	0
AGPHD1	0
AGPS	0
AGR2	2
AGR3	0
AGRN	0
AGRP	12
AGT	0
AGTPBP1	3
AGTR1	0
AGTR2	0
AGTRAP	0
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	93
AHCTF1	2
AHCY	2
AHCYL1	2
AHCYL2	50
AHDC1	8
AHI1	35
AHNAK	173
AHNAK2	56
AHR	45
AHSA1	3
AHSA2	52
AHSG	0
AHSP	0
AICDA	54
AIDA	84
AIF1	0
AIF1L	1
AIFM1	37
AIFM2	27
AIFM3	1
AIG1	0
AIM1	107
AIM1L	30
AIM2	7
AIMP1	65
AIMP2	45
AIP	7
AIPL1	60
AIRE	30
AJAP1	0
AK1	67
AK2	3
AK3	57
AK4	5
AK5	56
AK7	0
AK8	0
AKAP1	2
AKAP10	1
AKAP11	2
AKAP12	34
AKAP13	65
AKAP14	4
AKAP17A	0
AKAP3	0
AKAP4	0
AKAP5	295
AKAP6	1
AKAP7	78
AKAP8	40
AKAP8L	20
AKAP9	20
AKIP1	32
AKIRIN1	23
AKIRIN2	9
AKNA	69
AKNAD1	0
AKR1A1	1
AKR1B1	0
AKR1B10	20
AKR1B15	4
AKR1C1	1
AKR1C2	1
AKR1C3	4
AKR1C4	8
AKR1CL1	0
AKR1D1	38
AKR1E2	0
AKR7A2	1
AKR7A2P1	7
AKR7A3	0
AKR7L	0
AKT1	20
AKT1S1	4
AKT2	12
AKT3	56
AKTIP	337
ALAD	1
ALAS1	1
ALAS2	5
ALB	0
ALCAM	5
ALDH16A1	6
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	8
ALDH1B1	15
ALDH1L1	0
ALDH1L2	47
ALDH2	1
ALDH3A1	0
ALDH3A2	46
ALDH3B1	44
ALDH3B2	0
ALDH4A1	1
ALDH5A1	35
ALDH6A1	11
ALDH7A1	1
ALDH8A1	18
ALDH9A1	15
ALDOA	15
ALDOB	3
ALDOC	0
ALG1	100
ALG10	0
ALG10B	10
ALG11	24
ALG12	25
ALG13	3
ALG14	1
ALG1L	52
ALG1L2	8
ALG2	1
ALG3	0
ALG5	0
ALG6	9
ALG8	3
ALG9	33
ALK	63
ALKBH1	1
ALKBH2	0
ALKBH3	0
ALKBH4	63
ALKBH5	17
ALKBH6	1
ALKBH7	1
ALKBH8	1
ALLC	0
ALMS1	5
ALMS1P	0
ALOX12	87
ALOX12B	14
ALOX12P2	14
ALOX15	9
ALOX15B	1
ALOX5	20
ALOX5AP	0
ALOXE3	0
ALPI	0
ALPK1	41
ALPK2	1
ALPK3	0
ALPL	0
ALPP	16
ALPPL2	0
ALS2	4
ALS2CL	7
ALS2CR11	12
ALS2CR12	32
ALS2CR8	45
ALX1	0
ALX3	23
ALX4	26
AMACR	8
AMBN	6
AMBP	1
AMBRA1	1
AMD1	5
AMDHD1	0
AMDHD2	2
AMELX	0
AMELY	0
AMFR	1
AMH	0
AMHR2	0
AMICA1	5
AMIGO1	42
AMIGO2	6
AMIGO3	72
AMMECR1	38
AMMECR1L	0
AMN	0
AMN1	8
AMOT	0
AMOTL1	27
AMOTL2	0
AMPD1	0
AMPD2	10
AMPD3	7
AMPH	78
AMT	197
AMTN	1
AMY1A	0
AMY2A	0
AMZ1	35
AMZ2	4
AMZ2P1	2
ANAPC1	2
ANAPC10	0
ANAPC11	10
ANAPC13	16
ANAPC16	213
ANAPC2	4
ANAPC4	0
ANAPC5	8
ANAPC7	1
ANG	0
ANGEL1	3
ANGEL2	37
ANGPT1	0
ANGPT2	217
ANGPT4	6
ANGPTL1	170
ANGPTL2	24
ANGPTL3	10
ANGPTL4	9
ANGPTL5	1
ANGPTL6	125
ANGPTL7	26
ANK1	1
ANK2	0
ANK3	1
ANKAR	5
ANKDD1A	63
ANKDD1B	0
ANKFN1	0
ANKFY1	28
ANKH	513
ANKHD1	55
ANKIB1	5
ANKK1	25
ANKLE1	112
ANKLE2	8
ANKMY1	2
ANKMY2	1
ANKRA2	0
ANKRD1	3
ANKRD10	5
ANKRD11	52
ANKRD12	106
ANKRD13A	17
ANKRD13B	0
ANKRD13C	3
ANKRD13D	7
ANKRD16	64
ANKRD17	6
ANKRD18A	3
ANKRD19P	42
ANKRD2	0
ANKRD20A3	14
ANKRD20A4	3
ANKRD20A5P	6
ANKRD20A9P	1939
ANKRD22	6
ANKRD23	44
ANKRD24	0
ANKRD26	0
ANKRD26P1	2
ANKRD26P3	0
ANKRD27	10
ANKRD28	82
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	1
ANKRD30BP2	80
ANKRD31	0
ANKRD32	28
ANKRD33	0
ANKRD33B	1
ANKRD34A	21
ANKRD34B	2
ANKRD34C	0
ANKRD35	1
ANKRD36	7
ANKRD36B	35
ANKRD36BP1	482
ANKRD36BP2	0
ANKRD37	34
ANKRD39	2
ANKRD40	85
ANKRD42	14
ANKRD44	7
ANKRD45	16
ANKRD46	0
ANKRD49	2
ANKRD50	1
ANKRD52	2
ANKRD53	2
ANKRD54	1
ANKRD55	5
ANKRD6	59
ANKRD62	92
ANKRD62P1-PARP4P3	29
ANKRD63	0
ANKRD7	0
ANKRD9	1
ANKS1A	2
ANKS1B	126
ANKS3	46
ANKS4B	44
ANKS6	0
ANKUB1	0
ANKZF1	16
ANLN	2
ANO1	0
ANO10	2
ANO2	0
ANO3	0
ANO4	0
ANO5	0
ANO6	19
ANO7	19
ANO8	19
ANO9	27
ANP32A	7
ANP32B	4
ANP32C	0
ANP32D	0
ANP32E	13
ANPEP	6
ANTXR1	0
ANTXR2	18
ANXA1	3
ANXA10	1
ANXA11	6
ANXA13	0
ANXA2	1
ANXA2P1	3
ANXA2P2	8
ANXA2P3	0
ANXA3	1
ANXA4	1
ANXA5	4
ANXA6	12
ANXA7	0
ANXA8	0
ANXA8L2	0
ANXA9	69
AOAH	2
AOC2	0
AOC3	0
AOC4	16
AOX1	0
AOX2P	5
AP1AR	15
AP1B1	5
AP1B1P1	0
AP1G1	7
AP1G2	467
AP1M1	3
AP1M2	1
AP1S1	0
AP1S2	23
AP1S3	154
AP2A1	8
AP2A2	2
AP2B1	5
AP2M1	2
AP2S1	1
AP3B1	5
AP3B2	6
AP3D1	32
AP3M1	155
AP3M2	3
AP3S1	9
AP3S2	62
AP4B1	0
AP4E1	85
AP4M1	9
AP4S1	49
APAF1	35
APBA1	0
APBA2	9
APBA3	5
APBB1	9
APBB1IP	7
APBB2	14
APBB3	6
APC	3
APC2	97
APCDD1	0
APCDD1L	13
APCS	0
APEH	2
APEX1	56
APEX2	0
APH1A	6
APH1B	0
API5	10
APIP	1
APITD1	10
APLF	0
APLN	0
APLNR	0
APLP1	4
APLP2	10
APOA1	1
APOA1BP	14
APOA2	26
APOA4	0
APOA5	1
APOB	0
APOBEC1	0
APOBEC2	73
APOBEC3A	40
APOBEC3B	0
APOBEC3C	1
APOBEC3D	43
APOBEC3F	41
APOBEC3G	1
APOBEC3H	4
APOBEC4	6
APOBR	27
APOC1	0
APOC1P1	10
APOC3	0
APOD	0
APOE	0
APOF	15
APOH	0
APOL1	124
APOL2	29
APOL3	4
APOL4	307
APOL5	0
APOL6	97
APOLD1	34
APOM	38
APOO	0
APOOL	36
APP	12
APPBP2	7
APPL1	52
APPL2	261
APRT	5
APTX	1
AQP1	0
AQP10	0
AQP11	72
AQP12A	0
AQP12B	0
AQP2	0
AQP3	3
AQP4	0
AQP5	0
AQP6	14
AQP7	0
AQP7P1	0
AQP7P3	0
AQP8	0
AQP9	5
AQPEP	0
AQR	1
AR	0
ARAF	4
ARAP1	20
ARAP2	3
ARAP3	0
ARC	0
ARCN1	34
AREG	0
ARF1	14
ARF3	10
ARF4	62
ARF5	1
ARF6	34
ARFGAP1	4
ARFGAP2	28
ARFGAP3	1
ARFGEF1	17
ARFGEF2	10
ARFIP1	0
ARFIP2	31
ARFRP1	10
ARG1	67
ARG2	232
ARGFX	128
ARGFXP2	39
ARGLU1	57
ARHGAP1	98
ARHGAP10	0
ARHGAP11A	32
ARHGAP11B	0
ARHGAP12	1
ARHGAP15	4
ARHGAP17	2
ARHGAP18	4
ARHGAP20	0
ARHGAP21	2
ARHGAP22	4
ARHGAP23	0
ARHGAP24	0
ARHGAP25	7
ARHGAP26	76
ARHGAP27	7
ARHGAP28	0
ARHGAP29	0
ARHGAP30	85
ARHGAP31	24
ARHGAP32	1
ARHGAP33	0
ARHGAP35	1
ARHGAP36	0
ARHGAP39	3
ARHGAP4	32
ARHGAP40	0
ARHGAP42	0
ARHGAP44	23
ARHGAP5	9
ARHGAP6	2
ARHGAP9	123
ARHGDIA	25
ARHGDIB	27
ARHGDIG	4
ARHGEF1	29
ARHGEF10	0
ARHGEF10L	0
ARHGEF11	3
ARHGEF12	1
ARHGEF15	0
ARHGEF16	1
ARHGEF17	1
ARHGEF18	16
ARHGEF19	0
ARHGEF2	10
ARHGEF25	0
ARHGEF26	57
ARHGEF3	1
ARHGEF33	21
ARHGEF35	4
ARHGEF37	0
ARHGEF38	3
ARHGEF4	20
ARHGEF40	10
ARHGEF5	1
ARHGEF6	34
ARHGEF7	4
ARHGEF9	18
ARID1A	19
ARID1B	33
ARID2	14
ARID3A	2
ARID3B	2
ARID3C	0
ARID4A	14
ARID4B	29
ARID5A	14
ARID5B	16
ARIH1	17
ARIH2	36
ARL1	0
ARL10	1
ARL11	48
ARL13A	16
ARL13B	5
ARL14	0
ARL15	0
ARL16	23
ARL17A	620
ARL2	15
ARL2BP	6
ARL3	67
ARL4A	19
ARL4C	40
ARL4D	0
ARL5A	3
ARL5B	0
ARL5C	0
ARL6	0
ARL6IP1	4
ARL6IP4	50
ARL6IP5	7
ARL6IP6	5
ARL8A	0
ARL8B	4
ARL9	0
ARMC1	0
ARMC10	109
ARMC2	0
ARMC3	0
ARMC4	0
ARMC5	42
ARMC6	2
ARMC7	64
ARMC8	2
ARMC9	0
ARMCX1	0
ARMCX2	1
ARMCX3	3
ARMCX4	0
ARMCX5	1
ARMCX6	3
ARMS2	0
ARNT	3
ARNT2	0
ARNTL	39
ARNTL2	0
ARPC1A	6
ARPC1B	21
ARPC2	10
ARPC3	26
ARPC4	66
ARPC5	1
ARPC5L	4
ARPP19	57
ARPP21	0
ARR3	16
ARRB1	3
ARRB2	5
ARRDC1	59
ARRDC2	2
ARRDC3	15
ARRDC4	1
ARRDC5	0
ARSA	53
ARSB	46
ARSD	10
ARSE	0
ARSF	3
ARSG	8
ARSH	0
ARSI	0
ARSJ	2
ARSK	29
ART1	3
ART3	1
ART4	1
ART5	1
ARTN	0
ARV1	3
ARVCF	21
ARX	0
ASAH1	7
ASAH2	0
ASAH2B	0
ASAP1	5
ASAP1-IT1	0
ASAP2	14
ASAP3	0
ASB1	0
ASB10	0
ASB11	41
ASB12	0
ASB13	0
ASB14	293
ASB15	4
ASB16	105
ASB17	0
ASB18	0
ASB2	4
ASB3	3
ASB4	19
ASB5	0
ASB6	150
ASB7	3
ASB8	87
ASB9	0
ASB9P1	8
ASCC1	58
ASCC2	17
ASCC3	0
ASCL1	0
ASCL2	0
ASCL3	1
ASCL4	0
ASF1A	157
ASF1B	5
ASGR1	2
ASGR2	5
ASH1L	17
ASH2L	11
ASIP	2
ASL	1
ASMTL	0
ASMTL-AS1	0
ASNA1	0
ASNS	0
ASNSD1	0
ASPA	0
ASPDH	33
ASPG	0
ASPH	11
ASPHD1	4
ASPHD2	16
ASPM	0
