gene symbol	(count) FRA_45_FA_377
AIFM1	39
AIFM2	27
AIFM3	0
AIG1	0
AIM1	104
AIM1L	48
AIM2	7
AIMP1	56
AIMP2	31
AIP	10
AIPL1	66
AIRE	24
AJAP1	0
AK1	79
AK2	5
AK3	41
AK4	0
AK5	44
AK7	0
AK8	2
AKAP1	3
AKAP10	0
AKAP11	4
AKAP12	30
AKAP13	57
AKAP14	6
AKAP17A	0
AKAP3	1
AKAP4	0
AKAP5	248
AKAP6	1
AKAP7	39
AKAP8	48
AKAP8L	14
AKAP9	12
AKIP1	34
AKIRIN1	16
AKIRIN2	15
AKNA	56
AKNAD1	1
AKR1A1	0
AKR1B1	1
AKR1B10	19
AKR1B15	2
AKR1C1	0
AKR1C2	0
AKR1C3	4
AKR1C4	12
AKR1CL1	0
AKR1D1	45
AKR1E2	0
AKR7A2	0
AKR7A2P1	7
AKR7A3	0
AKR7L	0
AKT1	17
AKT1S1	2
AKT2	8
AKT3	56
AKTIP	291
ALAD	1
ALAS1	4
ALAS2	3
ALB	0
ALCAM	7
ALDH16A1	4
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	5
ALDH1B1	15
ALDH1L1	1
ALDH1L2	41
ALDH2	2
ALDH3A1	0
ALDH3A2	33
ALDH3B1	51
ALDH3B2	1
ALDH4A1	0
ALDH5A1	47
ALDH6A1	3
ALDH7A1	5
ALDH8A1	10
ALDH9A1	18
ALDOA	18
ALDOB	9
ALDOC	1
ALG1	101
ALG10	0
ALG10B	7
ALG11	20
ALG12	21
ALG13	3
ALG14	1
ALG1L	35
ALG1L2	5
ALG2	1
ALG3	0
ALG5	0
ALG6	6
ALG8	3
ALG9	34
ALK	54
ALKBH1	0
ALKBH2	0
ALKBH3	0
ALKBH4	60
ALKBH5	6
ALKBH6	0
ALKBH7	1
ALKBH8	0
ALLC	0
ALMS1	2
ALMS1P	0
ALOX12	66
ALOX12B	9
ALOX12P2	17
ALOX15	11
ALOX15B	0
ALOX5	20
ALOX5AP	0
ALOXE3	1
ALPI	0
ALPK1	36
ALPK2	8
ALPK3	0
ALPL	0
ALPP	10
ALPPL2	0
ALS2	10
ALS2CL	6
ALS2CR11	7
ALS2CR12	42
ALS2CR8	43
ALX1	0
ALX3	30
ALX4	11
AMACR	5
AMBN	2
AMBP	1
AMBRA1	5
AMD1	1
AMDHD1	1
AMDHD2	5
AMELX	0
AMELY	0
AMFR	2
AMH	0
AMHR2	0
AMICA1	4
AMIGO1	31
AMIGO2	7
AMIGO3	55
AMMECR1	49
AMMECR1L	0
AMN	1
AMN1	15
AMOT	1
AMOTL1	23
AMOTL2	0
AMPD1	0
AMPD2	6
AMPD3	6
AMPH	44
AMT	188
AMTN	0
AMY1A	0
AMY2A	0
AMZ1	43
AMZ2	2
AMZ2P1	2
ANAPC1	0
ANAPC10	0
ANAPC11	5
ANAPC13	7
ANAPC16	201
ANAPC2	0
ANAPC4	0
ANAPC5	7
ANAPC7	1
ANG	0
ANGEL1	5
ANGEL2	22
ANGPT1	0
ANGPT2	257
ANGPT4	2
ANGPTL1	273
ANGPTL2	22
ANGPTL3	21
ANGPTL4	16
ANGPTL5	0
ANGPTL6	127
ANGPTL7	45
ANK1	2
ANK2	1
ANK3	3
ANKAR	5
ANKDD1A	46
ANKDD1B	0
ANKFN1	0
ANKFY1	34
ANKH	431
ANKHD1	35
ANKIB1	1
ANKK1	18
ANKLE1	96
ANKLE2	5
ANKMY1	0
ANKMY2	0
ANKRA2	1
ANKRD1	3
ANKRD10	7
ANKRD11	41
ANKRD12	91
ANKRD13A	23
ANKRD13B	4
ANKRD13C	2
ANKRD13D	4
ANKRD16	57
ANKRD17	8
ANKRD18A	1
ANKRD19P	65
ANKRD2	0
ANKRD20A3	6
ANKRD20A4	1
ANKRD20A5P	4
ANKRD20A9P	1800
ANKRD22	8
ANKRD23	53
ANKRD24	0
ANKRD26	0
ANKRD26P1	0
ANKRD26P3	1
ANKRD27	4
ANKRD28	88
ANKRD29	0
ANKRD30A	0
ANKRD30B	1
ANKRD30BL	0
ANKRD30BP2	62
ANKRD31	0
ANKRD32	24
ANKRD33	0
ANKRD33B	3
ANKRD34A	7
ANKRD34B	0
ANKRD34C	0
ANKRD35	1
ANKRD36	0
ANKRD36B	31
ANKRD36BP1	544
ANKRD36BP2	0
ANKRD37	22
ANKRD39	4
ANKRD40	81
ANKRD42	35
ANKRD44	6
ANKRD45	22
ANKRD46	0
ANKRD49	0
ANKRD50	0
ANKRD52	1
ANKRD53	3
ANKRD54	0
ANKRD55	10
ANKRD6	56
ANKRD62	81
ANKRD62P1-PARP4P3	26
ANKRD63	0
ANKRD7	0
ANKRD9	2
ANKS1A	2
ANKS1B	145
ANKS3	23
ANKS4B	34
ANKS6	0
ANKUB1	0
ANKZF1	11
ANLN	2
ANO1	0
ANO10	1
ANO2	0
ANO3	0
ANO4	0
ANO5	0
ANO6	11
ANO7	19
ANO8	6
ANO9	45
ANP32A	14
ANP32B	8
ANP32C	0
ANP32D	0
ANP32E	13
ANPEP	4
ANTXR1	1
ANTXR2	18
ANXA1	3
ANXA10	2
ANXA11	4
ANXA13	0
ANXA2	6
ANXA2P1	2
ANXA2P2	4
ANXA2P3	0
ANXA3	0
ANXA4	2
ANXA5	0
ANXA6	10
ANXA7	1
ANXA8	0
ANXA8L2	0
ANXA9	76
AOAH	3
AOC2	0
AOC3	0
AOC4	6
AOX1	0
AOX2P	5
AP1AR	28
AP1B1	1
AP1B1P1	0
AP1G1	6
AP1G2	356
AP1M1	6
AP1M2	0
AP1S1	0
AP1S2	35
AP1S3	134
AP2A1	16
AP2A2	0
AP2B1	1
AP2M1	3
AP2S1	2
AP3B1	3
AP3B2	3
AP3D1	22
AP3M1	128
AP3M2	1
AP3S1	11
AP3S2	62
AP4B1	0
AP4E1	60
AP4M1	8
AP4S1	34
APAF1	21
APBA1	1
APBA2	3
APBA3	6
APBB1	7
APBB1IP	9
APBB2	9
APBB3	6
APC	3
APC2	100
APCDD1	1
APCDD1L	12
APCS	0
APEH	0
APEX1	50
APEX2	0
APH1A	8
APH1B	0
API5	6
APIP	1
APITD1	16
APLF	0
APLN	0
APLNR	0
APLP1	1
APLP2	11
APOA1	0
APOA1BP	13
APOA2	28
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	99
APOBEC3A	30
APOBEC3B	0
APOBEC3C	2
APOBEC3D	41
APOBEC3F	39
APOBEC3G	3
APOBEC3H	4
APOBEC4	9
APOBR	27
APOC1	0
APOC1P1	8
APOC3	0
APOD	0
APOE	0
APOF	7
APOH	0
APOL1	112
APOL2	17
APOL3	0
APOL4	283
APOL5	0
APOL6	90
APOLD1	44
APOM	30
APOO	2
APOOL	49
APP	18
APPBP2	4
APPL1	39
APPL2	282
APRT	4
APTX	1
AQP1	0
AQP10	0
AQP11	57
AQP12A	0
AQP12B	0
AQP2	0
AQP3	5
AQP4	0
AQP5	0
AQP6	16
AQP7	0
AQP7P1	0
AQP7P3	0
AQP8	0
AQP9	1
AQPEP	0
AQR	0
AR	1
ARAF	3
ARAP1	13
ARAP2	8
ARAP3	2
ARC	0
ARCN1	39
AREG	0
ARF1	9
ARF3	5
ARF4	46
ARF5	1
ARF6	44
ARFGAP1	2
ARFGAP2	23
ARFGAP3	1
ARFGEF1	9
ARFGEF2	4
ARFIP1	0
ARFIP2	31
ARFRP1	5
ARG1	67
ARG2	281
ARGFX	137
ARGFXP2	48
ARGLU1	40
ARHGAP1	110
ARHGAP10	3
ARHGAP11A	9
ARHGAP11B	0
ARHGAP12	3
ARHGAP15	1
ARHGAP17	4
ARHGAP18	2
ARHGAP20	5
ARHGAP21	4
ARHGAP22	1
ARHGAP23	0
ARHGAP24	0
ARHGAP25	4
ARHGAP26	50
ARHGAP27	11
ARHGAP28	0
ARHGAP29	1
ARHGAP30	84
ARHGAP31	29
ARHGAP32	0
ARHGAP33	1
ARHGAP35	2
ARHGAP36	0
ARHGAP39	7
ARHGAP4	16
ARHGAP40	0
ARHGAP42	0
ARHGAP44	23
ARHGAP5	2
ARHGAP6	1
ARHGAP9	103
ARHGDIA	19
ARHGDIB	28
ARHGDIG	0
ARHGEF1	13
ARHGEF10	0
ARHGEF10L	1
ARHGEF11	4
ARHGEF12	1
ARHGEF15	0
ARHGEF16	0
ARHGEF17	0
ARHGEF18	16
ARHGEF19	0
ARHGEF2	8
ARHGEF25	0
ARHGEF26	48
ARHGEF3	1
ARHGEF33	14
ARHGEF35	11
ARHGEF37	0
ARHGEF38	2
ARHGEF4	11
ARHGEF40	6
ARHGEF5	2
ARHGEF6	43
ARHGEF7	3
ARHGEF9	3
ARID1A	19
ARID1B	18
ARID2	12
ARID3A	1
ARID3B	5
ARID3C	0
ARID4A	13
ARID4B	17
ARID5A	5
ARID5B	16
ARIH1	10
ARIH2	27
ARL1	0
ARL10	1
ARL11	36
ARL13A	15
ARL13B	2
ARL14	0
ARL15	0
ARL16	31
ARL17A	499
ARL2	13
ARL2BP	4
ARL3	53
ARL4A	25
ARL4C	37
ARL4D	0
ARL5A	2
ARL5B	2
ARL5C	0
ARL6	1
ARL6IP1	1
ARL6IP4	40
ARL6IP5	5
ARL6IP6	4
ARL8A	2
ARL8B	2
ARL9	0
ARMC1	0
ARMC10	86
ARMC2	3
ARMC3	0
ARMC4	0
ARMC5	28
ARMC6	5
ARMC7	63
ARMC8	1
ARMC9	0
ARMCX1	0
ARMCX2	0
ARMCX3	0
ARMCX4	1
ARMCX5	1
ARMCX6	0
ARMS2	0
ARNT	5
ARNT2	0
ARNTL	48
ARNTL2	0
ARPC1A	1
ARPC1B	22
ARPC2	6
ARPC3	24
ARPC4	74
ARPC5	9
ARPC5L	2
ARPP19	72
ARPP21	0
ARR3	14
ARRB1	8
ARRB2	7
ARRDC1	55
ARRDC2	7
ARRDC3	5
ARRDC4	1
ARRDC5	0
ARSA	52
ARSB	32
ARSD	17
ARSE	0
ARSF	3
ARSG	9
ARSH	0
ARSI	0
ARSJ	0
ARSK	31
ART1	4
ART3	2
ART4	3
ART5	0
ARTN	0
ARV1	1
ARVCF	8
ARX	0
ASAH1	10
ASAH2	0
ASAH2B	0
ASAP1	3
ASAP1-IT1	0
ASAP2	14
ASAP3	0
ASB1	0
ASB10	0
ASB11	43
ASB12	0
ASB13	0
ASB14	296
ASB15	1
ASB16	80
ASB17	0
ASB18	0
ASB2	1
ASB3	4
ASB4	13
ASB5	0
ASB6	149
ASB7	7
ASB8	104
ASB9	0
ASB9P1	7
ASCC1	65
ASCC2	16
ASCC3	3
ASCL1	1
ASCL2	0
ASCL3	3
ASCL4	0
ASF1A	140
ASF1B	3
ASGR1	1
ASGR2	7
ASH1L	15
ASH2L	6
ASIP	1
ASL	2
ASMTL	0
ASMTL-AS1	0
ASNA1	0
ASNS	0
ASNSD1	0
ASPA	0
ASPDH	27
ASPG	0
ASPH	7
ASPHD1	7
ASPHD2	11
ASPM	1
ASPN	26
ASPRV1	2
ASPSCR1	3
ASRGL1	1
ASS1	6
ASTE1	36
ASTL	0
ASTN1	0
ASTN2	5353
ASXL1	9
ASXL2	8
ASXL3	0
ASZ1	5
ATAD1	1
ATAD2	2
ATAD2B	22
ATAD3A	1
ATAD3B	0
ATAD3C	57
ATAD5	67
ATAT1	27
ATCAY	260
ATE1	3
ATF1	0
ATF2	0
ATF3	0
ATF4	36
ATF5	53
ATF6	0
ATF6B	2
ATF7	3
ATF7IP	8
ATF7IP2	0
ATG10	9
ATG12	34
ATG13	15
ATG14	133
ATG16L1	2
ATG16L2	51
ATG2A	2
ATG2B	0
ATG3	3
ATG4A	0
ATG4B	1
ATG4C	0
ATG4D	65
ATG5	0
ATG7	139
ATG9A	0
ATG9B	30
ATHL1	2
ATIC	1
ATL1	25
ATL2	1
ATL3	2
ATM	82
ATMIN	7
ATN1	17
ATOH1	0
ATOH7	1
ATOH8	0
ATOX1	0
ATP10A	6
ATP10B	3
ATP10D	0
ATP11A	6
ATP11B	5
ATP11C	1
ATP12A	0
ATP13A1	2
ATP13A2	7
ATP13A3	1
ATP13A4	0
ATP13A5	0
ATP1A1	49
ATP1A1OS	668
ATP1A2	41
ATP1A3	0
ATP1A4	0
ATP1B1	15
ATP1B2	58
ATP1B3	11
ATP1B4	40
ATP2A1	25
ATP2A2	12
ATP2A3	13
ATP2B1	27
ATP2B2	3
ATP2B3	2
ATP2B4	13
ATP2C1	38
ATP2C2	8
ATP4A	2
ATP4B	0
ATP5A1	2
ATP5B	0
ATP5C1	2
ATP5D	1
ATP5E	2
ATP5EP2	0
ATP5F1	39
ATP5G1	1
ATP5G2	12
ATP5G3	2
ATP5H	78
ATP5I	1
ATP5J	32
ATP5L	1
ATP5L2	6
ATP5O	0
ATP5S	40
ATP5SL	26
ATP6AP1	0
ATP6AP1L	0
ATP6AP2	5
ATP6V0A1	1
ATP6V0A2	42
ATP6V0A4	0
ATP6V0B	0
ATP6V0C	1
ATP6V0CP3	0
ATP6V0D1	0
ATP6V0D2	7
ATP6V0E1	1
ATP6V0E2	3
ATP6V1A	19
ATP6V1B1	2
ATP6V1B2	0
ATP6V1C1	8
ATP6V1C2	568
ATP6V1D	7
ATP6V1E1	0
ATP6V1E2	0
ATP6V1F	2
ATP6V1G1	8
ATP6V1G3	0
ATP6V1H	0
ATP7A	4
ATP7B	1
ATP8A1	3
ATP8A2	0
ATP8B1	381
ATP8B2	11
ATP8B3	0
ATP8B4	0
ATP8B5P	0
ATP9A	0
ATP9B	3
ATPAF1	17
ATPAF2	0
ATPIF1	7
ATR	0
ATRIP	25
ATRN	12
ATRNL1	0
ATRX	8
ATXN1	11
ATXN10	0
ATXN1L	29
ATXN2	11
ATXN2L	8
ATXN3	116
ATXN3L	0
ATXN7	10
ATXN7L1	0
ATXN7L2	2
ATXN7L3	25
ATXN7L3B	14
ATXN8OS	1
AUH	1
AUP1	9
AURKA	23
AURKAIP1	2
AURKAPS1	0
AURKB	1
AURKC	0
AUTS2	5
AVEN	0
AVIL	22
AVL9	6
AVP	0
AVPI1	8
AVPR1A	1
AVPR1B	1
AVPR2	83
AWAT1	1
AWAT2	6
AXDND1	0
AXIN1	8
AXIN2	2
AXL	38
AZGP1	0
AZGP1P1	0
AZI1	2
AZI2	70
AZIN1	5
AZU1	1
B2M	20
B3GALNT1	5
B3GALNT2	76
B3GALT1	0
B3GALT2	151
B3GALT4	4
B3GALT5	0
B3GALT6	0
B3GALTL	0
B3GAT1	0
B3GAT2	74
B3GAT3	1
B3GNT1	1
B3GNT2	1
B3GNT3	0
B3GNT4	26
B3GNT5	18
B3GNT6	17
B3GNT7	16
B3GNT8	23
B3GNT9	61
B3GNTL1	5
B4GALNT1	0
B4GALNT2	0
B4GALNT3	3
B4GALNT4	1
B4GALT1	3
B4GALT2	0
B4GALT3	11
B4GALT4	2
B4GALT5	11
B4GALT6	0
B4GALT7	31
B9D1	1
B9D2	10
BAALC	0
BAAT	38
BABAM1	4
BACE1	197
BACE1-AS	10
BACE2	0
BACH1	7
BACH2	2
BAD	4
BAG1	17
BAG2	0
BAG3	5
BAG4	7
BAG5	9
BAG6	13
BAHCC1	0
BAHD1	12
BAI1	0
BAI2	0
BAI3	0
BAIAP2	9
BAIAP2L1	116
BAIAP2L2	2
BAIAP3	68
BAK1	2
BAMBI	0
BANF1	58
BANF2	0
BANK1	7
BANP	6
BAP1	49
BARD1	0
BARHL1	1
BARHL2	0
BARX1	0
BARX2	2
BASP1	41
BASP1P1	0
BATF	2
BATF2	0
BATF3	1
BAX	7
BAZ1A	58
BAZ1B	6
BAZ2A	11
BAZ2B	12
BBC3	11
BBIP1	721
BBOX1	0
BBS1	27
BBS10	0
BBS12	0
BBS2	1
BBS4	26
BBS5	1031
BBS7	0
BBS9	0
BBX	3
BCAM	0
BCAN	0
BCAP29	1
BCAP31	3
BCAR1	0
BCAR3	9
BCAR4	1
BCAS1	130
BCAS2	67
BCAS3	0
BCAS4	19
BCAT1	1
BCAT2	0
BCCIP	30
BCDIN3D	25
BCHE	0
BCKDHA	14
BCKDHB	53
BCKDK	13
BCL10	9
BCL11A	3
BCL11B	26
BCL2	2
BCL2A1	0
BCL2L1	4
BCL2L10	0
BCL2L11	6
BCL2L12	109
BCL2L13	12
BCL2L14	1
BCL2L15	109
BCL2L2	47
BCL3	2
BCL6	2
BCL6B	2
BCL7A	3
BCL7B	2
BCL7C	4
BCL9	20
BCL9L	76
BCLAF1	19
BCMO1	0
BCO2	0
BCOR	2
BCORL1	4
BCORP1	0
BCR	11
BCRP2	0
BCRP3	0
BCS1L	13
BCYRN1	19
BDH1	41
BDH2	10
BDKRB1	2
BDKRB2	0
BDNF	11
BDP1	7
BEAN1	37
BECN1	2
BEGAIN	2
BEND2	41
BEND3	1
BEND4	10
BEND5	0
BEND6	0
BEND7	0
BEST1	277
BEST2	3
BEST3	0
BEST4	9
BET1	0
BET1L	0
BEX1	0
BEX2	0
BEX4	2
BEX5	1
BFAR	8
BFSP1	0
BFSP2	9
BGN	5
BHLHA15	8
BHLHA9	0
BHLHB9	0
BHLHE22	0
BHLHE23	0
BHLHE40	3
BHLHE41	21
BHMT	3
BHMT2	117
BICC1	0
BICD1	0
BICD2	5
BID	27
BIK	9
BIN1	9
BIN2	14
BIN3	12
BIRC2	4
BIRC3	3
BIRC5	0
BIRC6	3
BIRC7	0
BIRC8	0
BIVM	35
BLCAP	3
BLID	0
BLK	9
BLM	0
BLMH	1
BLNK	1
BLOC1S1	3
BLOC1S2	5
BLOC1S3	20
BLVRA	3
BLVRB	1
BLZF1	11
BMF	2
BMP1	0
BMP10	0
BMP15	0
BMP2	0
BMP2K	33
BMP3	10
BMP4	0
BMP5	0
BMP6	122
BMP7	125
BMP8A	164
BMP8B	71
BMPER	0
BMPR1A	0
BMPR1B	0
BMPR2	20
BMS1	4
BMS1P1	8
BMS1P4	55
BMX	0
BNC1	0
BNC2	1
BNIP1	1
BNIP2	4
BNIP3	52
BNIP3L	2
BNIPL	52
BOC	14
BOD1	0
BOK	9
BOK-AS1	0
BOLA1	0
BOLA2	0
BOLA3	0
BOLL	12
BOP1	14
BPESC1	0
BPGM	1
BPHL	7
BPI	0
BPNT1	53
BPTF	36
BPY2	0
BRAF	0
BRAP	1
BRAT1	179
BRCA1	50
BRCA2	30
BRCC3	3
BRD1	116
BRD2	26
BRD3	20
BRD4	22
BRD7	87
BRD7P3	90
BRD8	3
BRD9	10
BRDT	44
BRE	4
BREA2	25
BRF1	20
BRF2	3
BRI3	8
BRI3BP	0
BRIP1	187
BRIX1	18
BRK1	1
BRMS1	0
BRMS1L	0
BROX	3
BRPF1	4
BRPF3	4
BRS3	0
BRSK1	5
BRSK2	21
BRWD1	37
BRWD3	35
BSCL2	26
BSDC1	1
BSG	4
BSN	14
BSND	2
BSPH1	0
BSPRY	2
BST1	1
BST2	1
BSX	0
BTAF1	7
BTBD1	13
BTBD10	32
BTBD11	20
BTBD16	0
BTBD17	0
BTBD18	76
BTBD19	3
BTBD2	49
BTBD3	1
BTBD6	29
BTBD7	9
BTBD8	0
BTBD9	116
BTC	0
BTD	2
BTF3	40
BTF3L4	1
BTF3P11	0
BTG1	13
BTG2	6
BTG3	3
BTG4	0
BTK	1
BTLA	9
BTN1A1	6
BTN2A1	7
BTN2A2	1
BTN3A1	10
BTN3A2	18
BTN3A3	0
BTNL2	6
BTNL3	0
BTNL8	0
BTNL9	1
BTRC	7
BUB1	0
BUB1B	1
BUB3	1
BUD13	0
BUD31	26
BVES	29
BYSL	196
BZRAP1	18
BZW1	4
BZW2	1
C10orf10	85
C10orf105	166
C10orf107	0
C10orf11	0
C10orf111	12
C10orf112	1
C10orf113	0
C10orf114	1
C10orf118	2
C10orf12	0
C10orf120	0
C10orf128	0
C10orf129	6
C10orf131	12
C10orf137	1
C10orf18	65
C10orf2	1
C10orf25	54
C10orf32	164
C10orf35	0
C10orf40	0
C10orf53	0
C10orf54	81
C10orf55	5
C10orf62	0
C10orf67	1
C10orf71	0
C10orf76	26
C10orf82	0
C10orf88	0
C10orf90	0
C10orf91	1
C10orf95	38
C10orf99	0
C11orf1	0
C11orf16	4
C11orf21	6
C11orf24	0
C11orf30	1
C11orf31	13
C11orf34	20
C11orf35	11
C11orf40	0
C11orf42	18
C11orf44	21
C11orf45	0
C11orf48	8
C11orf49	101
C11orf53	0
C11orf54	13
C11orf57	105
C11orf58	132
C11orf63	40
C11orf65	0
C11orf68	0
C11orf70	38
C11orf71	0
C11orf73	1
C11orf74	0
C11orf80	60
C11orf82	11
C11orf83	12
C11orf84	5
C11orf85	1
C11orf86	0
C11orf87	0
C11orf88	0
C11orf91	0
C11orf92	39
C11orf93	8
C11orf94	1
C11orf95	21
C11orf96	0
C12orf10	7
C12orf23	20
