gene symbol	(count) FRA_45_FA_377
A1BG	32
A1BG-AS1	14
A1CF	8
A2M	1149
A2ML1	51
A2MP1	73
A4GALT	0
A4GNT	1
AA06	0
AAAS	1
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	2
AADACL4	0
AADAT	0
AAGAB	13
AAK1	169
AAMP	10
AANAT	34
AARS	1
AARS2	75
AARSD1	59
AASDH	1
AASDHPPT	1
AASS	35
AATF	3
AATK	1
AATK-AS1	1
ABAT	2
ABCA1	3
ABCA10	13
ABCA11P	61
ABCA12	0
ABCA13	24
ABCA17P	4
ABCA2	2
ABCA3	6
ABCA4	1
ABCA6	0
ABCA7	3
ABCA8	0
ABCA9	92
ABCB1	3
ABCB10	0
ABCB11	0
ABCB4	18
ABCB5	52
ABCB6	9
ABCB7	0
ABCB8	5
ABCB9	7
ABCC1	3
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	13
ABCC2	0
ABCC3	2
ABCC4	1
ABCC5	0
ABCC6	11
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	476
ABCD1	2
ABCD2	1
ABCD3	23
ABCD4	0
ABCE1	37
ABCF1	10
ABCF2	12
ABCF3	0
ABCG1	4
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	2
ABHD1	63
ABHD10	0
ABHD11	60
ABHD12	4
ABHD12B	27
ABHD13	2
ABHD14A	7
ABHD14B	1
ABHD15	62
ABHD16A	2
ABHD16B	121
ABHD2	49
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	4
ABI1	27
ABI2	84
ABI3	19
ABI3BP	35
ABL1	8
ABL2	113
ABLIM1	6
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	1
ABR	37
ABRA	42
ABT1	9
ABTB1	1
ABTB2	29
ACAA1	8
ACAA2	1
ACACA	42
ACACB	9
ACAD10	1
ACAD11	67
ACAD8	29
ACAD9	2
ACADL	0
ACADM	4
ACADS	0
ACADSB	415
ACADVL	75
ACAN	26
ACAP1	8
ACAP2	28
ACAP3	3
ACAT1	104
ACAT2	65
ACBD3	10
ACBD4	46
ACBD5	26
ACBD6	2
ACBD7	206
ACCS	2
ACCSL	0
ACD	14
ACE	0
ACE2	0
ACER1	0
ACER2	2
ACER3	1
ACHE	0
ACIN1	64
ACLY	5
ACMSD	13
ACN9	1
ACO1	59
ACO2	135
ACOT1	0
ACOT11	0
ACOT12	0
ACOT13	336
ACOT2	36
ACOT4	4
ACOT6	0
ACOT7	2
ACOT8	21
ACOT9	1
ACOX1	43
ACOX2	1
ACOX3	0
ACOXL	3
ACP1	0
ACP2	12
ACP5	10
ACP6	1
ACPL2	0
ACPP	4
ACPT	21
ACR	0
ACRBP	1
ACRC	1
ACRV1	1
ACSBG1	5
ACSBG2	12
ACSF2	0
ACSF3	2
ACSL1	1
ACSL3	0
ACSL4	0
ACSL5	49
ACSL6	41
ACSM1	21
ACSM2A	0
ACSM2B	0
ACSM3	8
ACSM4	8
ACSM5	0
ACSS1	12
ACSS2	2
ACSS3	2
ACTA1	3
ACTA2	75
ACTB	141
ACTBL2	0
ACTC1	0
ACTG1	41
ACTG2	0
ACTL6A	28
ACTL6B	1
ACTL7A	11
ACTL7B	0
ACTL8	0
ACTL9	1
ACTN1	7
ACTN2	0
ACTN3	1
ACTN4	29
ACTR10	13
ACTR1A	11
ACTR1B	0
ACTR2	6
ACTR3	7
ACTR3B	3
ACTR3BP2	1
ACTR3C	6
ACTR5	1
ACTR6	0
ACTR8	1
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	0
ACVR1C	0
ACVR2A	129
ACVR2B	18
ACVRL1	16
ACY3	0
ACYP1	0
ACYP2	4
ADA	16
ADAD1	0
ADAD2	2
ADAL	0
ADAM10	2
ADAM11	1
ADAM12	6
ADAM15	3
ADAM17	99
ADAM18	0
ADAM19	5
ADAM2	0
ADAM20	0
ADAM21	15
ADAM21P1	1
ADAM22	72
ADAM23	0
ADAM28	65
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	9
ADAM3A	0
ADAM6	0
ADAM7	0
ADAM8	12
ADAM9	0
ADAMDEC1	13
ADAMTS1	0
ADAMTS10	1
ADAMTS12	0
ADAMTS13	2
ADAMTS14	0
ADAMTS15	0
ADAMTS16	4
ADAMTS17	20
ADAMTS18	0
ADAMTS19	0
ADAMTS2	11
ADAMTS20	0
ADAMTS3	0
ADAMTS4	59
ADAMTS5	1
ADAMTS6	1
ADAMTS7	11
ADAMTS8	3
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	26
ADAMTSL3	1
ADAMTSL4	354
ADAMTSL5	2
ADAP1	3
ADAP2	2
ADAR	56
ADARB1	6
ADARB2	5
ADAT1	112
ADAT2	8
ADC	2
ADCK1	0
ADCK2	12
ADCK3	3
ADCK4	0
ADCK5	0
ADCY1	57
ADCY10	4
ADCY2	12
ADCY3	44
ADCY4	6
ADCY5	18
ADCY6	26
ADCY7	234
ADCY8	1
ADCY9	3
ADCYAP1	0
ADCYAP1R1	0
ADD1	28
ADD2	0
ADD3	4
ADH1A	0
ADH1B	1
ADH1C	0
ADH4	20
ADH5	33
ADH6	6
ADH7	0
ADHFE1	0
ADI1	3
ADIG	0
ADIPOQ	65
ADIPOR1	3
ADIPOR2	12
ADK	0
ADM	0
ADM2	59
ADNP	184
ADNP2	0
ADO	19
ADORA1	0
ADORA2A	8
ADORA2B	31
ADORA3	2
ADPGK	21
ADPRH	1
ADPRHL1	0
ADPRHL2	1
ADRA1A	54
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	1
ADRB2	3
ADRB3	0
ADRBK1	22
ADRBK2	42
ADRM1	4
ADSL	2
ADSS	18
ADSSL1	0
AEBP1	5
AEBP2	2
AEN	1
AES	17
AFAP1	5
AFAP1-AS1	43
AFAP1L1	2
AFAP1L2	0
AFF1	17
AFF2	0
AFF3	57
AFF4	20
AFG3L1P	5
AFG3L2	28
AFM	0
AFMID	30
AFP	0
AFTPH	8
AGA	3
AGAP1	0
AGAP2	2
AGAP3	5
AGAP4	0
AGAP5	0
AGAP6	2
AGAP7	1
AGAP8	2
AGAP9	0
AGBL1	0
AGBL2	0
AGBL3	29
AGBL4	0
AGBL5	771
AGER	16
AGFG1	1
AGFG2	4
AGGF1	23
AGK	165
AGL	0
AGMAT	90
AGMO	30
AGPAT1	5
AGPAT2	0
AGPAT3	0
AGPAT4	152
AGPAT5	8
AGPAT6	9
AGPAT9	0
AGPHD1	0
AGPS	1
AGR2	6
AGR3	0
AGRN	0
AGRP	21
AGT	0
AGTPBP1	3
AGTR1	1
AGTR2	0
AGTRAP	2
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	41
AHCTF1	4
AHCY	5
AHCYL1	1
AHCYL2	41
AHDC1	3
AHI1	31
AHNAK	124
AHNAK2	94
AHR	42
AHSA1	1
AHSA2	49
AHSG	1
AHSP	0
AICDA	44
AIDA	77
AIF1	1
AIF1L	1
