gene symbol	(count) NOR_46_MA_288
AGK	113
AGL	1
AGMAT	72
AGMO	26
AGPAT1	8
AGPAT2	0
AGPAT3	1
AGPAT4	104
AGPAT5	3
AGPAT6	10
AGPAT9	0
AGPHD1	0
AGPS	2
AGR2	4
AGR3	0
AGRN	0
AGRP	14
AGT	0
AGTPBP1	2
AGTR1	0
AGTR2	0
AGTRAP	1
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	40
AHCTF1	2
AHCY	1
AHCYL1	1
AHCYL2	24
AHDC1	4
AHI1	18
AHNAK	86
AHNAK2	61
AHR	30
AHSA1	1
AHSA2	45
AHSG	0
AHSP	0
AICDA	40
AIDA	54
AIF1	2
AIF1L	5
AIFM1	18
AIFM2	25
AIFM3	1
AIG1	0
AIM1	85
AIM1L	7
AIM2	8
AIMP1	53
AIMP2	31
AIP	4
AIPL1	48
AIRE	16
AJAP1	0
AK1	51
AK2	3
AK3	46
AK4	2
AK5	47
AK7	0
AK8	0
AKAP1	1
AKAP10	2
AKAP11	1
AKAP12	25
AKAP13	46
AKAP14	3
AKAP17A	0
AKAP3	0
AKAP4	0
AKAP5	223
AKAP6	1
AKAP7	43
AKAP8	25
AKAP8L	16
AKAP9	11
AKIP1	32
AKIRIN1	16
AKIRIN2	19
AKNA	47
AKNAD1	1
AKR1A1	0
AKR1B1	0
AKR1B10	9
AKR1B15	1
AKR1C1	0
AKR1C2	3
AKR1C3	2
AKR1C4	15
AKR1CL1	0
AKR1D1	38
AKR1E2	0
AKR7A2	0
AKR7A2P1	9
AKR7A3	0
AKR7L	0
AKT1	8
AKT1S1	0
AKT2	2
AKT3	33
AKTIP	196
ALAD	0
ALAS1	2
ALAS2	5
ALB	0
ALCAM	2
ALDH16A1	4
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	3
ALDH1B1	19
ALDH1L1	0
ALDH1L2	34
ALDH2	3
ALDH3A1	0
ALDH3A2	23
ALDH3B1	39
ALDH3B2	0
ALDH4A1	0
ALDH5A1	22
ALDH6A1	7
ALDH7A1	0
ALDH8A1	20
ALDH9A1	20
ALDOA	11
ALDOB	7
ALDOC	1
ALG1	74
ALG10	0
ALG10B	7
ALG11	12
ALG12	17
ALG13	3
ALG14	2
ALG1L	27
ALG1L2	6
ALG2	0
ALG3	0
ALG5	0
ALG6	2
ALG8	1
ALG9	15
ALK	53
ALKBH1	0
ALKBH2	0
ALKBH3	0
ALKBH4	39
ALKBH5	12
ALKBH6	0
ALKBH7	2
ALKBH8	0
ALLC	0
ALMS1	0
ALMS1P	0
ALOX12	54
ALOX12B	13
ALOX12P2	13
ALOX15	3
ALOX15B	1
ALOX5	16
ALOX5AP	0
ALOXE3	0
ALPI	0
ALPK1	20
ALPK2	4
ALPK3	0
ALPL	0
ALPP	10
ALPPL2	0
ALS2	8
ALS2CL	2
ALS2CR11	7
ALS2CR12	16
ALS2CR8	39
ALX1	0
ALX3	16
ALX4	11
AMACR	8
AMBN	0
AMBP	1
AMBRA1	1
AMD1	2
AMDHD1	0
AMDHD2	2
AMELX	0
AMELY	0
AMFR	0
AMH	0
AMHR2	0
AMICA1	2
AMIGO1	48
AMIGO2	4
AMIGO3	58
AMMECR1	20
AMMECR1L	0
AMN	0
AMN1	5
AMOT	0
AMOTL1	11
AMOTL2	0
AMPD1	0
AMPD2	5
AMPD3	10
AMPH	56
AMT	134
AMTN	0
AMY1A	0
AMY2A	0
AMZ1	18
AMZ2	0
AMZ2P1	2
ANAPC1	0
ANAPC10	0
ANAPC11	2
ANAPC13	3
ANAPC16	160
ANAPC2	1
ANAPC4	0
ANAPC5	4
ANAPC7	1
ANG	1
ANGEL1	2
ANGEL2	23
ANGPT1	0
ANGPT2	151
ANGPT4	2
ANGPTL1	164
ANGPTL2	15
ANGPTL3	10
ANGPTL4	8
ANGPTL5	1
ANGPTL6	78
ANGPTL7	22
ANK1	1
ANK2	0
ANK3	1
ANKAR	4
ANKDD1A	41
ANKDD1B	0
ANKFN1	0
ANKFY1	31
ANKH	340
ANKHD1	39
ANKIB1	2
ANKK1	17
ANKLE1	81
ANKLE2	0
ANKMY1	0
ANKMY2	0
ANKRA2	0
ANKRD1	2
ANKRD10	4
ANKRD11	21
ANKRD12	58
ANKRD13A	26
ANKRD13B	0
ANKRD13C	2
ANKRD13D	7
ANKRD16	56
ANKRD17	6
ANKRD18A	1
ANKRD19P	65
ANKRD2	0
ANKRD20A3	4
ANKRD20A4	1
ANKRD20A5P	2
ANKRD20A9P	1284
ANKRD22	5
ANKRD23	49
ANKRD24	0
ANKRD26	1
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	3
ANKRD28	47
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	49
ANKRD31	0
ANKRD32	10
ANKRD33	0
ANKRD33B	0
ANKRD34A	18
ANKRD34B	0
ANKRD34C	0
ANKRD35	0
ANKRD36	0
ANKRD36B	19
ANKRD36BP1	258
ANKRD36BP2	1
ANKRD37	18
ANKRD39	2
ANKRD40	75
ANKRD42	25
ANKRD44	3
ANKRD45	13
ANKRD46	1
ANKRD49	0
ANKRD50	0
ANKRD52	1
ANKRD53	1
ANKRD54	0
ANKRD55	8
ANKRD6	36
ANKRD62	85
ANKRD62P1-PARP4P3	18
ANKRD63	0
ANKRD7	0
ANKRD9	0
ANKS1A	1
ANKS1B	90
ANKS3	26
ANKS4B	21
ANKS6	0
ANKUB1	0
ANKZF1	11
ANLN	2
ANO1	0
ANO10	1
ANO2	0
ANO3	0
ANO4	0
ANO5	0
ANO6	18
ANO7	9
ANO8	23
ANO9	9
ANP32A	6
ANP32B	8
ANP32C	0
ANP32D	0
ANP32E	8
ANPEP	2
ANTXR1	1
ANTXR2	12
ANXA1	0
ANXA10	2
ANXA11	4
ANXA13	0
ANXA2	3
ANXA2P1	0
ANXA2P2	5
ANXA2P3	0
ANXA3	1
ANXA4	0
ANXA5	2
ANXA6	10
ANXA7	0
ANXA8	0
ANXA8L2	0
ANXA9	50
AOAH	1
AOC2	0
AOC3	0
AOC4	8
AOX1	0
AOX2P	4
AP1AR	14
AP1B1	3
AP1B1P1	0
AP1G1	2
AP1G2	266
AP1M1	3
AP1M2	0
AP1S1	0
AP1S2	24
AP1S3	109
AP2A1	8
AP2A2	2
AP2B1	2
AP2M1	4
AP2S1	0
AP3B1	2
AP3B2	4
AP3D1	28
AP3M1	89
AP3M2	4
AP3S1	0
AP3S2	54
AP4B1	2
AP4E1	63
AP4M1	7
AP4S1	24
APAF1	26
APBA1	1
APBA2	2
APBA3	1
APBB1	8
APBB1IP	5
APBB2	11
APBB3	2
APC	2
APC2	57
APCDD1	1
APCDD1L	10
APCS	0
APEH	2
APEX1	31
APEX2	0
APH1A	2
APH1B	0
API5	4
APIP	1
APITD1	6
APLF	0
APLN	0
APLNR	0
APLP1	2
APLP2	9
APOA1	0
APOA1BP	15
APOA2	4
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	48
APOBEC3A	32
APOBEC3B	0
APOBEC3C	2
APOBEC3D	25
APOBEC3F	29
APOBEC3G	0
APOBEC3H	0
APOBEC4	11
APOBR	14
APOC1	0
APOC1P1	7
APOC3	0
APOD	0
APOE	0
APOF	3
APOH	0
APOL1	87
APOL2	19
APOL3	2
APOL4	202
APOL5	0
APOL6	85
APOLD1	34
APOM	21
APOO	1
APOOL	32
APP	13
APPBP2	4
APPL1	35
APPL2	174
APRT	4
APTX	0
AQP1	0
AQP10	0
AQP11	68
AQP12A	0
AQP12B	0
AQP2	0
AQP3	1
AQP4	0
AQP5	0
AQP6	15
AQP7	1
AQP7P1	1
AQP7P3	0
AQP8	0
AQP9	6
AQPEP	0
AQR	2
AR	0
ARAF	4
ARAP1	6
ARAP2	4
ARAP3	1
ARC	0
ARCN1	24
AREG	0
ARF1	10
ARF3	1
ARF4	31
ARF5	0
ARF6	35
ARFGAP1	3
ARFGAP2	13
ARFGAP3	0
ARFGEF1	9
ARFGEF2	2
ARFIP1	0
ARFIP2	27
ARFRP1	4
ARG1	55
ARG2	168
ARGFX	100
ARGFXP2	25
ARGLU1	28
ARHGAP1	84
