gene symbol	(count) NOR_48_MA_766
A1BG	8
A1BG-AS1	4
A1CF	1
A2M	726
A2ML1	14
A2MP1	36
A4GALT	0
A4GNT	0
AA06	0
AAAS	0
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	1
AADACL4	0
AADAT	0
AAGAB	6
AAK1	34
AAMP	3
AANAT	8
AARS	1
AARS2	30
AARSD1	19
AASDH	0
AASDHPPT	0
AASS	7
AATF	0
AATK	0
AATK-AS1	0
ABAT	2
ABCA1	1
ABCA10	5
ABCA11P	15
ABCA12	0
ABCA13	9
ABCA17P	2
ABCA2	0
ABCA3	2
ABCA4	1
ABCA6	0
ABCA7	0
ABCA8	0
ABCA9	32
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	4
ABCB5	20
ABCB6	3
ABCB7	0
ABCB8	2
ABCB9	2
ABCC1	0
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	5
ABCC2	0
ABCC3	0
ABCC4	0
ABCC5	0
ABCC6	6
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	111
ABCD1	0
ABCD2	2
ABCD3	4
ABCD4	0
ABCE1	9
ABCF1	1
ABCF2	6
ABCF3	0
ABCG1	1
ABCG2	0
ABCG4	0
ABCG5	1
ABCG8	0
ABHD1	23
ABHD10	1
ABHD11	18
ABHD12	0
ABHD12B	8
ABHD13	0
ABHD14A	1
ABHD14B	1
ABHD15	28
ABHD16A	1
ABHD16B	26
ABHD2	21
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	0
ABI1	8
ABI2	12
ABI3	3
ABI3BP	15
ABL1	0
ABL2	17
ABLIM1	4
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	0
ABR	7
ABRA	11
ABT1	4
ABTB1	0
ABTB2	12
ACAA1	0
ACAA2	1
ACACA	13
ACACB	3
ACAD10	0
ACAD11	19
ACAD8	13
ACAD9	1
ACADL	0
ACADM	0
ACADS	0
ACADSB	127
ACADVL	24
ACAN	8
ACAP1	1
ACAP2	8
ACAP3	0
ACAT1	31
ACAT2	26
ACBD3	3
ACBD4	26
ACBD5	7
ACBD6	1
ACBD7	49
ACCS	0
ACCSL	0
ACD	7
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	14
ACLY	0
ACMSD	6
ACN9	0
ACO1	31
ACO2	38
ACOT1	0
ACOT11	0
ACOT12	0
ACOT13	110
ACOT2	8
ACOT4	0
ACOT6	0
ACOT7	0
ACOT8	6
ACOT9	0
ACOX1	17
ACOX2	1
ACOX3	0
ACOXL	0
ACP1	0
ACP2	3
ACP5	1
ACP6	0
ACPL2	0
ACPP	3
ACPT	5
ACR	0
ACRBP	0
ACRC	0
ACRV1	1
ACSBG1	1
ACSBG2	5
ACSF2	0
ACSF3	0
ACSL1	0
ACSL3	0
ACSL4	2
ACSL5	17
ACSL6	10
ACSM1	2
ACSM2A	0
ACSM2B	0
ACSM3	2
ACSM4	1
ACSM5	0
ACSS1	2
ACSS2	1
ACSS3	0
ACTA1	0
ACTA2	44
ACTB	9
ACTBL2	0
ACTC1	0
ACTG1	4
ACTG2	0
ACTL6A	10
ACTL6B	0
ACTL7A	2
ACTL7B	0
ACTL8	0
ACTL9	0
