gene symbol	(count) FRA_47_MA_2346
A1BG	7
A1BG-AS1	1
A1CF	4
A2M	419
A2ML1	20
A2MP1	31
A4GALT	0
A4GNT	0
AA06	0
AAAS	1
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	1
AAGAB	6
AAK1	47
AAMP	0
AANAT	10
AARS	0
AARS2	32
AARSD1	24
AASDH	0
AASDHPPT	0
AASS	15
AATF	2
AATK	0
AATK-AS1	0
ABAT	1
ABCA1	1
ABCA10	5
ABCA11P	19
ABCA12	2
ABCA13	10
ABCA17P	0
ABCA2	0
ABCA3	0
ABCA4	1
ABCA6	0
ABCA7	0
ABCA8	0
ABCA9	36
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	9
ABCB5	25
ABCB6	0
ABCB7	0
ABCB8	1
ABCB9	0
ABCC1	0
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	4
ABCC2	0
ABCC3	0
ABCC4	0
ABCC5	0
ABCC6	15
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	159
ABCD1	0
ABCD2	0
ABCD3	15
ABCD4	0
ABCE1	4
ABCF1	4
ABCF2	10
ABCF3	0
ABCG1	2
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	11
ABHD10	0
ABHD11	15
ABHD12	2
ABHD12B	0
ABHD13	0
ABHD14A	1
ABHD14B	1
ABHD15	23
ABHD16A	0
ABHD16B	37
ABHD2	33
ABHD3	0
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	1
ABI1	8
ABI2	30
ABI3	1
ABI3BP	11
ABL1	0
ABL2	41
ABLIM1	4
ABLIM2	0
ABLIM3	0
ABO	1
ABP1	0
ABR	13
ABRA	7
ABT1	1
ABTB1	0
ABTB2	5
ACAA1	0
ACAA2	1
ACACA	22
ACACB	2
ACAD10	0
ACAD11	21
ACAD8	5
ACAD9	0
ACADL	0
ACADM	0
ACADS	1
ACADSB	143
ACADVL	15
ACAN	6
ACAP1	5
ACAP2	9
ACAP3	0
ACAT1	43
ACAT2	19
ACBD3	4
ACBD4	20
ACBD5	9
ACBD6	0
ACBD7	64
ACCS	0
ACCSL	0
ACD	6
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	16
ACLY	2
ACMSD	4
ACN9	0
ACO1	33
ACO2	29
ACOT1	0
ACOT11	0
ACOT12	0
ACOT13	55
ACOT2	11
ACOT4	3
ACOT6	0
ACOT7	0
ACOT8	6
ACOT9	0
ACOX1	16
ACOX2	1
ACOX3	0
ACOXL	0
ACP1	0
ACP2	5
