gene symbol	(count) FRA_46_MW_1176
A1BG	23
A1BG-AS1	17
A1CF	4
A2M	1532
A2ML1	42
A2MP1	97
A4GALT	0
A4GNT	0
AA06	0
AAAS	0
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	0
AAGAB	11
AAK1	84
AAMP	8
AANAT	20
AARS	1
AARS2	64
AARSD1	27
AASDH	0
AASDHPPT	1
AASS	31
AATF	0
AATK	0
AATK-AS1	0
ABAT	5
ABCA1	6
ABCA10	7
ABCA11P	32
ABCA12	3
ABCA13	16
ABCA17P	1
ABCA2	1
ABCA3	2
ABCA4	0
ABCA6	0
ABCA7	4
ABCA8	0
ABCA9	49
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	3
ABCB5	36
ABCB6	5
ABCB7	1
ABCB8	8
ABCB9	2
ABCC1	5
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	6
ABCC2	0
ABCC3	3
ABCC4	1
ABCC5	1
ABCC6	16
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	266
ABCD1	1
ABCD2	0
ABCD3	13
ABCD4	0
ABCE1	6
ABCF1	15
ABCF2	3
ABCF3	0
ABCG1	3
ABCG2	0
ABCG4	0
ABCG5	3
ABCG8	3
ABHD1	61
ABHD10	1
ABHD11	27
ABHD12	3
ABHD12B	22
ABHD13	0
ABHD14A	8
ABHD14B	4
ABHD15	53
ABHD16A	2
ABHD16B	74
ABHD2	41
ABHD3	0
ABHD4	0
ABHD5	1
ABHD6	1
ABHD8	4
ABI1	19
ABI2	45
ABI3	12
ABI3BP	16
ABL1	3
ABL2	64
ABLIM1	5
ABLIM2	0
ABLIM3	0
ABO	1
ABP1	0
ABR	36
ABRA	27
ABT1	6
ABTB1	1
ABTB2	22
ACAA1	5
ACAA2	0
ACACA	30
ACACB	9
ACAD10	1
ACAD11	37
ACAD8	29
ACAD9	1
ACADL	0
ACADM	0
ACADS	0
ACADSB	313
ACADVL	66
ACAN	14
ACAP1	11
ACAP2	12
ACAP3	0
ACAT1	65
ACAT2	52
ACBD3	9
ACBD4	30
ACBD5	20
ACBD6	2
ACBD7	101
ACCS	1
ACCSL	0
ACD	2
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	50
ACLY	0
ACMSD	8
ACN9	2
ACO1	70
ACO2	99
ACOT1	0
ACOT11	1
ACOT12	0
ACOT13	229
ACOT2	29
ACOT4	2
ACOT6	0
ACOT7	1
ACOT8	19
ACOT9	1
ACOX1	41
ACOX2	2
ACOX3	0
ACOXL	2
ACP1	0
ACP2	10
ACP5	4
ACP6	0
ACPL2	0
ACPP	2
ACPT	18
ACR	0
ACRBP	0
ACRC	0
ACRV1	0
ACSBG1	3
ACSBG2	17
ACSF2	1
ACSF3	1
ACSL1	3
ACSL3	1
ACSL4	1
ACSL5	35
ACSL6	22
ACSM1	4
ACSM2A	0
ACSM2B	0
ACSM3	8
ACSM4	2
ACSM5	0
ACSS1	4
ACSS2	6
ACSS3	2
ACTA1	2
ACTA2	67
ACTB	104
ACTBL2	0
ACTC1	0
ACTG1	29
ACTG2	0
ACTL6A	21
ACTL6B	0
ACTL7A	4
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	8
ACTN2	0
ACTN3	0
ACTN4	9
ACTR10	13
ACTR1A	14
ACTR1B	2
ACTR2	6
ACTR3	8
ACTR3B	1
ACTR3BP2	3
ACTR3C	3
ACTR5	0
ACTR6	2
ACTR8	0
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	1
ACVR1C	0
ACVR2A	94
ACVR2B	12
ACVRL1	8
ACY3	0
ACYP1	0
ACYP2	2
ADA	7
ADAD1	0
ADAD2	3
ADAL	0
ADAM10	3
ADAM11	2
ADAM12	3
ADAM15	4
ADAM17	59
ADAM18	0
ADAM19	2
ADAM2	0
ADAM20	0
ADAM21	7
ADAM21P1	0
ADAM22	73
ADAM23	0
ADAM28	55
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	3
ADAM3A	0
ADAM6	5
ADAM7	0
ADAM8	10
ADAM9	0
ADAMDEC1	2
ADAMTS1	0
ADAMTS10	1
ADAMTS12	0
ADAMTS13	4
ADAMTS14	0
ADAMTS15	0
ADAMTS16	1
ADAMTS17	13
ADAMTS18	0
ADAMTS19	0
ADAMTS2	9
ADAMTS20	0
ADAMTS3	0
ADAMTS4	36
ADAMTS5	0
ADAMTS6	0
ADAMTS7	6
ADAMTS8	3
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	26
ADAMTSL3	0
ADAMTSL4	188
ADAMTSL5	1
ADAP1	3
ADAP2	0
ADAR	40
ADARB1	0
ADARB2	3
ADAT1	67
ADAT2	2
ADC	5
ADCK1	0
ADCK2	4
ADCK3	1
ADCK4	0
ADCK5	1
ADCY1	39
ADCY10	1
ADCY2	5
ADCY3	29
ADCY4	6
ADCY5	14
ADCY6	16
ADCY7	196
ADCY8	0
ADCY9	3
ADCYAP1	0
ADCYAP1R1	0
ADD1	14
ADD2	0
ADD3	4
ADH1A	1
ADH1B	1
ADH1C	0
