gene symbol	(count) NOR_46_FW_2445
A1BG	15
A1BG-AS1	4
A1CF	5
A2M	1072
A2ML1	27
A2MP1	70
A4GALT	0
A4GNT	0
AA06	0
AAAS	1
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	0
AAGAB	10
AAK1	72
AAMP	0
AANAT	9
AARS	1
AARS2	34
AARSD1	25
AASDH	0
AASDHPPT	0
AASS	23
AATF	1
AATK	1
AATK-AS1	0
ABAT	1
ABCA1	1
ABCA10	8
ABCA11P	28
ABCA12	1
ABCA13	12
ABCA17P	0
ABCA2	0
ABCA3	1
ABCA4	0
ABCA6	0
ABCA7	0
ABCA8	0
ABCA9	48
ABCB1	0
ABCB10	1
ABCB11	0
ABCB4	1
ABCB5	18
ABCB6	1
ABCB7	0
ABCB8	2
ABCB9	3
ABCC1	1
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	5
ABCC2	0
ABCC3	1
ABCC4	0
ABCC5	1
ABCC6	11
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	207
ABCD1	1
ABCD2	0
ABCD3	13
ABCD4	1
ABCE1	9
ABCF1	4
ABCF2	6
ABCF3	0
ABCG1	6
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	11
ABHD10	0
ABHD11	23
ABHD12	4
ABHD12B	6
ABHD13	0
ABHD14A	1
ABHD14B	0
ABHD15	28
ABHD16A	1
ABHD16B	51
ABHD2	24
ABHD3	1
ABHD4	0
ABHD5	0
ABHD6	0
ABHD8	1
ABI1	4
ABI2	38
ABI3	5
ABI3BP	14
ABL1	0
ABL2	56
ABLIM1	1
ABLIM2	0
ABLIM3	0
ABO	0
ABP1	0
ABR	20
ABRA	14
ABT1	1
ABTB1	0
ABTB2	8
ACAA1	8
ACAA2	0
ACACA	16
ACACB	5
ACAD10	1
ACAD11	31
ACAD8	19
ACAD9	0
ACADL	0
ACADM	0
ACADS	0
ACADSB	160
ACADVL	32
ACAN	12
ACAP1	4
ACAP2	4
ACAP3	0
ACAT1	22
ACAT2	27
ACBD3	7
ACBD4	28
ACBD5	15
ACBD6	2
ACBD7	78
ACCS	0
ACCSL	0
ACD	9
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	12
ACLY	3
ACMSD	7
ACN9	1
ACO1	7
ACO2	50
ACOT1	0
ACOT11	2
ACOT12	0
ACOT13	127
ACOT2	11
ACOT4	1
ACOT6	0
ACOT7	1
ACOT8	0
ACOT9	0
ACOX1	25
ACOX2	3
ACOX3	0
ACOXL	1
ACP1	0
ACP2	9
ACP5	1
ACP6	0
ACPL2	0
ACPP	5
ACPT	16
ACR	0
ACRBP	1
ACRC	0
ACRV1	0
ACSBG1	3
ACSBG2	2
ACSF2	0
ACSF3	1
ACSL1	0
ACSL3	0
ACSL4	1
ACSL5	19
ACSL6	20
ACSM1	6
ACSM2A	0
ACSM2B	0
ACSM3	2
ACSM4	1
ACSM5	0
ACSS1	2
ACSS2	1
ACSS3	2
ACTA1	1
ACTA2	38
ACTB	3
ACTBL2	0
ACTC1	0
ACTG1	10
ACTG2	0
ACTL6A	8
ACTL6B	0
ACTL7A	4
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	4
ACTN2	0
ACTN3	0
ACTN4	11
ACTR10	5
ACTR1A	0
ACTR1B	0
ACTR2	3
ACTR3	2
ACTR3B	1
ACTR3BP2	0
ACTR3C	0
ACTR5	0
ACTR6	0
ACTR8	0
ACTRT1	0
ACTRT2	0
ACVR1	0
ACVR1B	1
ACVR1C	1
ACVR2A	40
ACVR2B	5
ACVRL1	5
ACY3	0
ACYP1	0
ACYP2	0
ADA	2
ADAD1	0
ADAD2	0
ADAL	0
ADAM10	3
ADAM11	0
ADAM12	3
ADAM15	0
ADAM17	27
ADAM18	0
ADAM19	1
ADAM2	0
ADAM20	0
ADAM21	5
ADAM21P1	1
ADAM22	34
ADAM23	0
ADAM28	11
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	3
ADAM3A	0
ADAM6	0
ADAM7	1
ADAM8	7
ADAM9	0
ADAMDEC1	3
ADAMTS1	0
ADAMTS10	1
ADAMTS12	0
ADAMTS13	8
ADAMTS14	0
ADAMTS15	0
ADAMTS16	2
ADAMTS17	12
ADAMTS18	0
ADAMTS19	0
ADAMTS2	4
ADAMTS20	0
ADAMTS3	0
ADAMTS4	18
ADAMTS5	0
ADAMTS6	0
ADAMTS7	6
ADAMTS8	2
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	16
ADAMTSL3	0
ADAMTSL4	155
ADAMTSL5	4
ADAP1	4
ADAP2	1
ADAR	22
ADARB1	0
ADARB2	6
ADAT1	56
ADAT2	3
ADC	0
ADCK1	0
ADCK2	7
ADCK3	1
ADCK4	0
ADCK5	0
ADCY1	27
ADCY10	0
ADCY2	0
ADCY3	24
ADCY4	1
ADCY5	7
ADCY6	11
ADCY7	90
ADCY8	0
ADCY9	4
ADCYAP1	0
ADCYAP1R1	0
ADD1	4
ADD2	0
ADD3	2
ADH1A	1
ADH1B	0
ADH1C	0
ADH4	6
ADH5	6
ADH6	9
ADH7	0
ADHFE1	0
ADI1	2
ADIG	0
ADIPOQ	25
ADIPOR1	2
ADIPOR2	4
ADK	0
ADM	0
ADM2	27
ADNP	109
ADNP2	1
ADO	5
ADORA1	0
ADORA2A	10
ADORA2B	11
ADORA3	0
ADPGK	12
ADPRH	7
ADPRHL1	0
ADPRHL2	1
ADRA1A	18
ADRA1B	0
ADRA1D	0
ADRA2A	0
ADRA2B	0
ADRA2C	0
ADRB1	0
ADRB2	0
ADRB3	0
ADRBK1	3
ADRBK2	29
ADRM1	0
ADSL	0
ADSS	5
ADSSL1	0
AEBP1	7
AEBP2	3
AEN	1
AES	4
AFAP1	2
AFAP1-AS1	18
AFAP1L1	2
AFAP1L2	0
AFF1	6
AFF2	0
AFF3	32
AFF4	4
AFG3L1P	0
AFG3L2	7
AFM	0
AFMID	17
AFP	0
AFTPH	4
AGA	2
AGAP1	0
AGAP2	2
AGAP3	0
AGAP4	1
AGAP5	0
AGAP6	1
AGAP7	1
AGAP8	0
AGAP9	0
AGBL1	0
AGBL2	0
AGBL3	6
AGBL4	0
AGBL5	392
AGER	11
AGFG1	2
AGFG2	2
AGGF1	7
AGK	69
AGL	0
AGMAT	49
AGMO	12
AGPAT1	4
AGPAT2	0
AGPAT3	0
AGPAT4	76
AGPAT5	0
AGPAT6	3
AGPAT9	0
AGPHD1	0
AGPS	1
AGR2	0
AGR3	0
AGRN	0
AGRP	6
AGT	0
AGTPBP1	2
AGTR1	0
AGTR2	0
AGTRAP	1
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	15
AHCTF1	0
AHCY	2
AHCYL1	0
AHCYL2	19
AHDC1	0
AHI1	14
AHNAK	12
AHNAK2	47
AHR	9
AHSA1	0
AHSA2	27
AHSG	0
AHSP	0
AICDA	20
AIDA	36
AIF1	1
AIF1L	0
AIFM1	13
AIFM2	10
AIFM3	2
AIG1	0
AIM1	39
AIM1L	31
AIM2	0
AIMP1	26
AIMP2	7
AIP	1
AIPL1	35
AIRE	5
AJAP1	0
AK1	26
AK2	2
AK3	27
AK4	1
AK5	17
AK7	0
AK8	0
AKAP1	1
AKAP10	0
AKAP11	0
AKAP12	16
AKAP13	26
AKAP14	5
AKAP17A	0
AKAP3	0
AKAP4	0
AKAP5	99
AKAP6	0
AKAP7	23
AKAP8	12
AKAP8L	3
AKAP9	3
AKIP1	15
AKIRIN1	12
AKIRIN2	3
AKNA	12
AKNAD1	0
AKR1A1	0
AKR1B1	0
AKR1B10	8
AKR1B15	0
AKR1C1	0
AKR1C2	0
AKR1C3	0
AKR1C4	2
AKR1CL1	0
AKR1D1	11
AKR1E2	0
AKR7A2	0
AKR7A2P1	6
AKR7A3	0
AKR7L	0
AKT1	10
AKT1S1	1
AKT2	10
AKT3	12
AKTIP	131
ALAD	0
ALAS1	0
ALAS2	1
ALB	0
ALCAM	6
ALDH16A1	1
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	0
ALDH1B1	9
ALDH1L1	0
ALDH1L2	14
ALDH2	0
ALDH3A1	0
ALDH3A2	25
ALDH3B1	23
ALDH3B2	0
ALDH4A1	0
ALDH5A1	22
ALDH6A1	2
ALDH7A1	2
ALDH8A1	9
ALDH9A1	9
ALDOA	12
ALDOB	3
ALDOC	0
ALG1	41
ALG10	0
ALG10B	1
ALG11	9
ALG12	10
ALG13	1
ALG14	0
ALG1L	15
ALG1L2	9
ALG2	0
ALG3	0
ALG5	1
ALG6	0
ALG8	3
ALG9	7
ALK	21
ALKBH1	0
ALKBH2	0
ALKBH3	0
ALKBH4	29
ALKBH5	6
ALKBH6	0
ALKBH7	1
ALKBH8	0
ALLC	0
ALMS1	0
ALMS1P	0
ALOX12	37
ALOX12B	2
ALOX12P2	6
ALOX15	9
ALOX15B	0
ALOX5	14
ALOX5AP	0
ALOXE3	0
ALPI	0
ALPK1	14
ALPK2	1
ALPK3	0
ALPL	0
ALPP	6
ALPPL2	0
ALS2	1
ALS2CL	6
ALS2CR11	2
ALS2CR12	9
ALS2CR8	22
ALX1	0
ALX3	7
ALX4	10
AMACR	6
AMBN	0
AMBP	0
AMBRA1	0
AMD1	1
AMDHD1	0
AMDHD2	3
AMELX	0
AMELY	0
AMFR	0
AMH	0
AMHR2	0
AMICA1	0
AMIGO1	14
AMIGO2	6
AMIGO3	25
AMMECR1	11
AMMECR1L	0
AMN	0
AMN1	2
AMOT	0
AMOTL1	11
AMOTL2	0
AMPD1	0
AMPD2	2
AMPD3	3
AMPH	21
AMT	87
AMTN	0
AMY1A	0
AMY2A	0
AMZ1	18
AMZ2	0
AMZ2P1	1
ANAPC1	0
ANAPC10	0
ANAPC11	2
ANAPC13	4
ANAPC16	92
ANAPC2	0
ANAPC4	0
ANAPC5	1
ANAPC7	0
ANG	1
ANGEL1	0
ANGEL2	16
ANGPT1	0
ANGPT2	67
ANGPT4	0
ANGPTL1	114
ANGPTL2	11
ANGPTL3	6
ANGPTL4	3
ANGPTL5	0
ANGPTL6	51
ANGPTL7	15
ANK1	2
ANK2	1
ANK3	1
ANKAR	1
ANKDD1A	13
ANKDD1B	0
ANKFN1	0
ANKFY1	10
ANKH	169
ANKHD1	8
ANKIB1	4
ANKK1	5
ANKLE1	39
ANKLE2	0
ANKMY1	0
ANKMY2	0
ANKRA2	0
ANKRD1	0
ANKRD10	2
ANKRD11	4
ANKRD12	34
ANKRD13A	4
ANKRD13B	0
ANKRD13C	1
ANKRD13D	0
ANKRD16	20
ANKRD17	1
ANKRD18A	2
ANKRD19P	20
ANKRD2	0
ANKRD20A3	2
ANKRD20A4	3
ANKRD20A5P	4
ANKRD20A9P	833
ANKRD22	4
ANKRD23	36
ANKRD24	0
ANKRD26	0
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	0
ANKRD28	50
ANKRD29	0
ANKRD30A	0
ANKRD30B	1
ANKRD30BL	0
ANKRD30BP2	40
ANKRD31	0
ANKRD32	4
ANKRD33	0
ANKRD33B	1
ANKRD34A	10
ANKRD34B	0
ANKRD34C	0
ANKRD35	0
ANKRD36	0
ANKRD36B	18
ANKRD36BP1	185
ANKRD36BP2	0
ANKRD37	19
ANKRD39	0
ANKRD40	33
ANKRD42	5
ANKRD44	0
ANKRD45	8
ANKRD46	0
ANKRD49	0
ANKRD50	0
ANKRD52	0
ANKRD53	1
ANKRD54	0
ANKRD55	6
ANKRD6	15
ANKRD62	46
ANKRD62P1-PARP4P3	7
ANKRD63	0
ANKRD7	0
ANKRD9	0
ANKS1A	1
ANKS1B	48
ANKS3	20
ANKS4B	16
ANKS6	0
ANKUB1	0
ANKZF1	3
ANLN	2
ANO1	0
ANO10	0
ANO2	0
ANO3	0
ANO4	0
ANO5	0
ANO6	8
ANO7	2
ANO8	4
ANO9	12
ANP32A	3
ANP32B	2
ANP32C	0
ANP32D	0
ANP32E	5
ANPEP	0
ANTXR1	0
ANTXR2	7
ANXA1	0
ANXA10	0
ANXA11	0
ANXA13	0
ANXA2	0
ANXA2P1	1
ANXA2P2	4
ANXA2P3	0
ANXA3	0
ANXA4	0
ANXA5	0
ANXA6	1
ANXA7	0
ANXA8	0
ANXA8L2	0
ANXA9	16
AOAH	0
AOC2	0
AOC3	0
AOC4	8
AOX1	0
AOX2P	0
AP1AR	13
AP1B1	1
AP1B1P1	0
AP1G1	2
AP1G2	131
AP1M1	2
AP1M2	0
AP1S1	0
AP1S2	9
AP1S3	86
AP2A1	4
AP2A2	3
AP2B1	0
AP2M1	0
AP2S1	0
AP3B1	1
AP3B2	4
AP3D1	5
AP3M1	50
AP3M2	1
AP3S1	4
AP3S2	23
AP4B1	1
AP4E1	35
AP4M1	7
AP4S1	16
APAF1	12
APBA1	0
APBA2	0
APBA3	1
APBB1	2
APBB1IP	0
APBB2	7
APBB3	4
APC	0
APC2	29
APCDD1	1
APCDD1L	2
APCS	0
APEH	0
APEX1	23
APEX2	0
APH1A	2
APH1B	0
API5	2
APIP	1
APITD1	1
APLF	0
APLN	0
APLNR	0
APLP1	3
APLP2	1
APOA1	0
APOA1BP	11
APOA2	13
APOA4	0
APOA5	0
APOB	0
APOBEC1	0
APOBEC2	29
APOBEC3A	18
APOBEC3B	0
APOBEC3C	0
APOBEC3D	21
APOBEC3F	14
APOBEC3G	0
APOBEC3H	3
APOBEC4	2
APOBR	7
APOC1	0
APOC1P1	2
APOC3	0
APOD	0
APOE	0
APOF	2
APOH	0
APOL1	51
APOL2	14
APOL3	5
APOL4	136
APOL5	0
APOL6	51
APOLD1	21
APOM	14
APOO	0
APOOL	22
APP	1
APPBP2	6
APPL1	28
APPL2	42
APRT	1
APTX	0
AQP1	0
AQP10	0
AQP11	33
AQP12A	0
AQP12B	0
AQP2	0
AQP3	1
AQP4	0
AQP5	0
AQP6	10
AQP7	0
AQP7P1	1
AQP7P3	0
AQP8	0
AQP9	1
AQPEP	0
AQR	0
AR	0
ARAF	2
ARAP1	2
ARAP2	1
ARAP3	0
ARC	0
ARCN1	9
