gene symbol	(count) NOR_48_FW_1291
AGK	43
AGL	0
AGMAT	26
AGMO	8
AGPAT1	1
AGPAT2	0
AGPAT3	0
AGPAT4	48
AGPAT5	0
AGPAT6	0
AGPAT9	0
AGPHD1	0
AGPS	0
AGR2	1
AGR3	0
AGRN	0
AGRP	9
AGT	1
AGTPBP1	1
AGTR1	1
AGTR2	0
AGTRAP	1
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	17
AHCTF1	1
AHCY	1
AHCYL1	0
AHCYL2	8
AHDC1	1
AHI1	11
AHNAK	12
AHNAK2	29
AHR	15
AHSA1	0
AHSA2	15
AHSG	0
AHSP	0
AICDA	14
AIDA	27
AIF1	0
AIF1L	0
AIFM1	8
AIFM2	7
AIFM3	0
AIG1	0
AIM1	43
AIM1L	23
AIM2	3
AIMP1	18
AIMP2	15
AIP	1
AIPL1	24
AIRE	5
AJAP1	0
AK1	16
AK2	0
AK3	13
AK4	2
AK5	17
AK7	0
AK8	0
AKAP1	0
AKAP10	1
AKAP11	0
AKAP12	10
AKAP13	15
AKAP14	2
AKAP17A	0
AKAP3	0
AKAP4	0
AKAP5	56
AKAP6	0
AKAP7	14
AKAP8	12
AKAP8L	2
AKAP9	3
AKIP1	12
AKIRIN1	4
AKIRIN2	4
AKNA	20
AKNAD1	0
AKR1A1	0
AKR1B1	2
AKR1B10	10
AKR1B15	0
AKR1C1	0
AKR1C2	0
AKR1C3	1
AKR1C4	2
AKR1CL1	0
AKR1D1	14
AKR1E2	0
AKR7A2	0
AKR7A2P1	8
AKR7A3	0
AKR7L	0
AKT1	7
AKT1S1	0
AKT2	2
AKT3	16
AKTIP	54
ALAD	1
ALAS1	0
ALAS2	1
ALB	0
ALCAM	6
ALDH16A1	4
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	1
ALDH1B1	5
ALDH1L1	0
ALDH1L2	11
ALDH2	0
ALDH3A1	0
ALDH3A2	14
ALDH3B1	20
ALDH3B2	0
ALDH4A1	0
ALDH5A1	13
ALDH6A1	2
ALDH7A1	5
ALDH8A1	0
ALDH9A1	4
ALDOA	5
ALDOB	1
ALDOC	0
ALG1	33
ALG10	0
ALG10B	2
ALG11	8
ALG12	8
ALG13	2
ALG14	0
ALG1L	11
ALG1L2	3
ALG2	0
ALG3	0
ALG5	0
ALG6	4
ALG8	0
ALG9	4
ALK	20
ALKBH1	0
ALKBH2	1
ALKBH3	0
ALKBH4	13
ALKBH5	7
ALKBH6	0
ALKBH7	0
ALKBH8	1
ALLC	0
ALMS1	0
ALMS1P	0
ALOX12	16
ALOX12B	0
ALOX12P2	3
ALOX15	4
ALOX15B	0
ALOX5	7
ALOX5AP	4
ALOXE3	0
ALPI	0
ALPK1	11
ALPK2	0
ALPK3	0
ALPL	0
ALPP	5
ALPPL2	0
ALS2	3
ALS2CL	5
ALS2CR11	3
ALS2CR12	8
ALS2CR8	13
ALX1	0
ALX3	4
ALX4	4
AMACR	0
AMBN	1
AMBP	0
AMBRA1	0
AMD1	1
AMDHD1	0
AMDHD2	1
AMELX	0
AMELY	0
AMFR	0
AMH	0
AMHR2	0
AMICA1	1
AMIGO1	13
AMIGO2	3
AMIGO3	13
AMMECR1	16
AMMECR1L	0
AMN	1
AMN1	3
AMOT	0
AMOTL1	2
AMOTL2	0
AMPD1	0
AMPD2	3
AMPD3	2
AMPH	9
AMT	67
AMTN	0
AMY1A	0
AMY2A	0
AMZ1	11
AMZ2	0
AMZ2P1	5
ANAPC1	0
ANAPC10	0
ANAPC11	2
ANAPC13	2
ANAPC16	76
ANAPC2	0
ANAPC4	0
ANAPC5	0
ANAPC7	1
ANG	0
ANGEL1	0
ANGEL2	2
ANGPT1	0
ANGPT2	60
ANGPT4	2
ANGPTL1	58
ANGPTL2	5
ANGPTL3	2
ANGPTL4	3
ANGPTL5	0
ANGPTL6	39
ANGPTL7	3
ANK1	0
ANK2	0
ANK3	1
ANKAR	0
ANKDD1A	15
ANKDD1B	0
ANKFN1	0
ANKFY1	3
ANKH	88
ANKHD1	14
ANKIB1	0
ANKK1	8
ANKLE1	20
ANKLE2	2
ANKMY1	0
ANKMY2	0
ANKRA2	0
ANKRD1	1
ANKRD10	2
ANKRD11	9
ANKRD12	33
ANKRD13A	5
ANKRD13B	1
ANKRD13C	0
ANKRD13D	0
ANKRD16	30
ANKRD17	2
ANKRD18A	2
ANKRD19P	9
ANKRD2	0
ANKRD20A3	7
ANKRD20A4	0
ANKRD20A5P	3
ANKRD20A9P	604
ANKRD22	2
ANKRD23	12
ANKRD24	0
ANKRD26	0
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	0
ANKRD28	28
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	30
ANKRD31	0
ANKRD32	2
ANKRD33	0
ANKRD33B	2
ANKRD34A	8
ANKRD34B	0
ANKRD34C	0
ANKRD35	0
ANKRD36	2
ANKRD36B	10
ANKRD36BP1	129
ANKRD36BP2	0
ANKRD37	7
ANKRD39	0
ANKRD40	18
ANKRD42	1
ANKRD44	0
ANKRD45	3
ANKRD46	0
ANKRD49	0
