gene symbol	(count) NOR_47_FA_228
AGK	88
AGL	0
AGMAT	34
AGMO	6
AGPAT1	6
AGPAT2	0
AGPAT3	0
AGPAT4	76
AGPAT5	0
AGPAT6	4
AGPAT9	0
AGPHD1	0
AGPS	0
AGR2	0
AGR3	0
AGRN	0
AGRP	7
AGT	0
AGTPBP1	0
AGTR1	0
AGTR2	0
AGTRAP	0
AGXT	0
AGXT2	0
AGXT2L1	0
AGXT2L2	20
AHCTF1	0
AHCY	2
AHCYL1	0
AHCYL2	13
AHDC1	0
AHI1	11
AHNAK	53
AHNAK2	73
AHR	20
AHSA1	1
AHSA2	17
AHSG	0
AHSP	0
AICDA	22
AIDA	40
AIF1	0
AIF1L	0
AIFM1	12
AIFM2	7
AIFM3	1
AIG1	1
AIM1	51
AIM1L	15
AIM2	3
AIMP1	38
AIMP2	16
AIP	1
AIPL1	27
AIRE	9
AJAP1	0
AK1	27
AK2	2
AK3	25
AK4	2
AK5	17
AK7	0
AK8	0
AKAP1	0
AKAP10	1
AKAP11	1
AKAP12	16
AKAP13	25
AKAP14	1
AKAP17A	0
AKAP3	0
AKAP4	0
AKAP5	108
AKAP6	0
AKAP7	24
AKAP8	20
AKAP8L	3
AKAP9	9
AKIP1	15
AKIRIN1	6
AKIRIN2	4
AKNA	28
AKNAD1	2
AKR1A1	0
AKR1B1	0
AKR1B10	4
AKR1B15	0
AKR1C1	0
AKR1C2	0
AKR1C3	2
AKR1C4	5
AKR1CL1	0
AKR1D1	8
AKR1E2	0
AKR7A2	0
AKR7A2P1	2
AKR7A3	0
AKR7L	0
AKT1	5
AKT1S1	0
AKT2	7
AKT3	29
AKTIP	132
ALAD	1
ALAS1	0
ALAS2	4
ALB	0
ALCAM	1
ALDH16A1	3
ALDH18A1	0
ALDH1A1	0
ALDH1A2	0
ALDH1A3	1
ALDH1B1	6
ALDH1L1	0
ALDH1L2	17
ALDH2	0
ALDH3A1	0
ALDH3A2	14
ALDH3B1	27
ALDH3B2	0
ALDH4A1	0
ALDH5A1	9
ALDH6A1	3
ALDH7A1	1
ALDH8A1	5
ALDH9A1	9
ALDOA	7
ALDOB	4
ALDOC	0
ALG1	38
ALG10	0
ALG10B	1
ALG11	9
ALG12	11
ALG13	1
ALG14	0
ALG1L	19
ALG1L2	2
ALG2	0
ALG3	0
ALG5	0
ALG6	3
ALG8	3
ALG9	15
ALK	22
ALKBH1	0
ALKBH2	2
ALKBH3	0
ALKBH4	25
ALKBH5	3
ALKBH6	0
ALKBH7	1
ALKBH8	0
ALLC	0
ALMS1	3
ALMS1P	0
ALOX12	28
ALOX12B	5
ALOX12P2	3
ALOX15	4
ALOX15B	1
ALOX5	9
ALOX5AP	0
ALOXE3	0
ALPI	0
ALPK1	11
ALPK2	1
ALPK3	0
ALPL	0
ALPP	6
ALPPL2	0
ALS2	6
ALS2CL	2
ALS2CR11	9
ALS2CR12	14
ALS2CR8	9
ALX1	0
ALX3	8
ALX4	4
AMACR	2
AMBN	2
AMBP	2
AMBRA1	0
AMD1	0
AMDHD1	0
AMDHD2	2
AMELX	0
AMELY	0
AMFR	0
AMH	0
AMHR2	0
AMICA1	0
AMIGO1	14
AMIGO2	2
AMIGO3	38
AMMECR1	13
AMMECR1L	0
AMN	0
AMN1	4
AMOT	1
AMOTL1	3
AMOTL2	0
AMPD1	0
AMPD2	1
AMPD3	3
AMPH	30
AMT	77
AMTN	0
AMY1A	0
AMY2A	0
AMZ1	12
AMZ2	0
AMZ2P1	1
ANAPC1	0
ANAPC10	0
ANAPC11	0
ANAPC13	4
ANAPC16	58
ANAPC2	0
ANAPC4	0
ANAPC5	0
ANAPC7	0
ANG	0
ANGEL1	1
ANGEL2	20
ANGPT1	0
ANGPT2	119
ANGPT4	0
ANGPTL1	113
ANGPTL2	7
ANGPTL3	10
ANGPTL4	5
ANGPTL5	0
ANGPTL6	52
ANGPTL7	15
ANK1	5
ANK2	1
ANK3	1
ANKAR	1
ANKDD1A	16
ANKDD1B	1
ANKFN1	0
ANKFY1	8
ANKH	202
ANKHD1	16
ANKIB1	2
ANKK1	3
ANKLE1	30
ANKLE2	1
ANKMY1	0
ANKMY2	0
ANKRA2	1
ANKRD1	0
ANKRD10	1
ANKRD11	14
ANKRD12	30
ANKRD13A	9
ANKRD13B	2
ANKRD13C	0
ANKRD13D	2
ANKRD16	29
ANKRD17	3
ANKRD18A	4
ANKRD19P	24
ANKRD2	0
ANKRD20A3	2
ANKRD20A4	0
ANKRD20A5P	0
ANKRD20A9P	758
ANKRD22	4
ANKRD23	21
ANKRD24	0
ANKRD26	0
ANKRD26P1	0
ANKRD26P3	0
ANKRD27	3
ANKRD28	17
ANKRD29	0
ANKRD30A	0
ANKRD30B	0
ANKRD30BL	0
ANKRD30BP2	32
ANKRD31	0
ANKRD32	11
ANKRD33	0
ANKRD33B	0
ANKRD34A	10
ANKRD34B	0
ANKRD34C	0
ANKRD35	1
ANKRD36	0
ANKRD36B	16
ANKRD36BP1	209
ANKRD36BP2	0
ANKRD37	11
ANKRD39	4
ANKRD40	28
ANKRD42	13
ANKRD44	3
